dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-03,2,2,0,0,1,1
2020-05-05,1,3,5,5,0,1
2020-05-19,2,5,0,5,0,1
2020-05-20,1,6,0,5,0,1
2020-05-25,2,8,0,5,0,1
2020-05-26,1,9,1,6,0,1
2020-05-27,1,10,0,6,0,1
2020-05-28,1,11,0,6,0,1
2020-05-29,0,11,1,7,0,1
2020-05-30,6,17,2,9,0,1
2020-06-01,6,23,0,9,0,1
2020-06-02,11,34,0,9,0,1
2020-06-03,12,46,0,9,1,2
2020-06-04,10,56,1,10,0,2
2020-06-05,17,73,5,15,0,2
2020-06-06,6,79,1,16,0,2
2020-06-07,6,85,3,19,1,3
2020-06-08,13,98,14,33,0,3
2020-06-09,16,114,7,40,0,3
2020-06-10,10,124,0,40,0,3
2020-06-11,41,165,6,46,0,3
2020-06-12,15,180,22,68,0,3
2020-06-13,4,184,0,68,0,3
2020-06-14,9,193,12,80,1,4
2020-06-15,22,215,13,93,0,4
2020-06-16,1,216,13,106,0,4
2020-06-17,2,218,2,108,0,4
2020-06-18,18,236,26,134,0,4
2020-06-19,8,244,3,137,0,4
2020-06-20,20,264,7,144,1,5
2020-06-21,28,292,0,144,0,5
2020-06-22,33,325,21,165,0,5
2020-06-23,19,344,15,180,0,5
2020-06-24,15,359,11,191,1,6
2020-06-25,32,391,15,206,2,8
2020-06-26,14,405,9,215,1,9
2020-06-27,12,417,7,222,0,9
2020-06-28,7,424,4,226,0,9
2020-06-29,30,454,8,234,0,9
2020-06-30,30,484,23,257,1,10
2020-07-01,7,491,17,274,0,10
2020-07-02,33,524,27,301,0,10
2020-07-03,26,550,118,419,0,10
2020-07-04,23,573,9,428,0,10
2020-07-05,26,599,2,430,0,10
2020-07-06,44,643,7,437,0,10
2020-07-07,37,680,3,440,0,10
2020-07-08,32,712,42,482,0,10
2020-07-09,20,732,5,487,2,12
2020-07-10,28,760,23,510,0,12
