dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-28,0,0,0,0,1,1
2020-03-30,0,0,0,0,1,2
2020-05-03,0,0,6,6,1,3
2020-06-03,2,2,0,6,0,3
2020-06-05,2,4,0,6,0,3
2020-06-07,7,11,0,6,0,3
2020-06-08,0,11,1,7,0,3
2020-06-09,4,15,0,7,0,3
2020-06-10,1,16,0,7,0,3
2020-06-11,12,28,2,9,0,3
2020-06-12,4,32,6,15,0,3
2020-06-13,1,33,0,15,0,3
2020-06-14,5,38,1,16,0,3
2020-06-16,1,39,8,24,0,3
2020-06-18,0,39,2,26,0,3
2020-06-19,2,41,6,32,0,3
2020-06-20,2,43,4,36,0,3
2020-06-21,2,45,0,36,0,3
2020-06-22,0,45,2,38,0,3
2020-06-23,0,45,2,40,0,3
2020-06-24,0,45,1,41,0,3
2020-06-25,0,45,2,43,0,3
2020-06-26,0,45,1,44,0,3
2020-06-27,0,45,1,45,0,3
2020-06-30,0,45,1,46,0,3
2020-07-01,1,46,2,48,0,3
2020-07-02,2,48,0,48,0,3
2020-07-04,1,49,0,48,0,3
2020-07-05,0,49,3,51,0,3
2020-07-08,0,49,1,52,0,3
