dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-27,5,5,0,0,0,0
2020-05-03,2,7,6,6,0,0
2020-05-07,0,7,2,8,0,0
2020-05-08,1,8,0,8,0,0
2020-05-13,1,9,0,8,0,0
2020-05-14,2,11,0,8,0,0
2020-05-18,2,13,0,8,0,0
2020-05-19,2,15,0,8,0,0
2020-05-20,1,16,0,8,0,0
2020-05-21,0,16,1,9,0,0
2020-05-22,2,18,0,9,0,0
2020-05-23,6,24,0,9,0,0
2020-05-24,1,25,0,9,0,0
2020-05-25,1,26,0,9,0,0
2020-05-26,3,29,0,9,0,0
2020-05-27,6,35,0,9,0,0
2020-05-28,15,50,0,9,0,0
2020-05-29,18,68,4,13,1,1
2020-05-30,4,72,1,14,0,1
2020-05-31,18,90,0,14,0,1
2020-06-01,1,91,0,14,0,1
2020-06-02,7,98,1,15,0,1
2020-06-03,4,102,6,21,0,1
2020-06-04,7,109,1,22,0,1
2020-06-05,8,117,2,24,0,1
2020-06-06,12,129,14,38,1,2
2020-06-07,4,133,7,45,0,2
2020-06-08,0,133,14,59,0,2
2020-06-09,0,133,9,68,0,2
2020-06-10,15,148,6,74,0,2
2020-06-11,13,161,1,75,0,2
2020-06-12,14,175,2,77,1,3
2020-06-13,10,185,5,82,0,3
2020-06-14,8,193,0,82,1,4
2020-06-15,6,199,8,90,0,4
2020-06-16,8,207,14,104,0,4
2020-06-17,8,215,11,115,1,5
2020-06-18,17,232,2,117,0,5
2020-06-19,12,244,3,120,0,5
2020-06-20,16,260,6,126,0,5
2020-06-21,5,265,5,131,0,5
2020-06-22,2,267,24,155,0,5
2020-06-23,4,271,3,158,0,5
2020-06-24,5,276,14,172,0,5
2020-06-25,8,284,14,186,0,5
2020-06-26,10,294,10,196,0,5
2020-06-27,0,294,5,201,0,5
2020-06-28,7,301,5,206,0,5
2020-06-29,8,309,14,220,0,5
2020-06-30,9,318,17,237,0,5
2020-07-01,3,321,5,242,0,5
2020-07-02,3,324,2,244,0,5
2020-07-03,3,327,6,250,0,5
2020-07-04,11,338,11,261,0,5
2020-07-05,7,345,21,282,0,5
2020-07-06,8,353,3,285,3,8
2020-07-07,21,374,8,293,0,8
2020-07-08,10,384,5,298,0,8
2020-07-09,1,385,8,306,0,8
2020-07-10,10,395,3,309,0,8
