dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-03,3,3,3,3,2,2
2020-05-06,1,4,0,3,0,2
2020-05-07,0,4,3,6,0,2
2020-05-08,1,5,0,6,0,2
2020-05-09,0,5,1,7,0,2
2020-05-10,1,6,0,7,0,2
2020-05-11,1,7,0,7,0,2
2020-05-14,3,10,2,9,0,2
2020-05-17,0,10,1,10,0,2
2020-05-18,1,11,0,10,0,2
2020-05-19,1,12,0,10,0,2
2020-05-21,1,13,0,10,0,2
2020-05-23,1,14,0,10,0,2
2020-05-24,1,15,0,10,0,2
2020-05-25,7,22,0,10,0,2
2020-05-26,10,32,0,10,0,2
2020-05-27,2,34,0,10,0,2
2020-05-28,1,35,0,10,0,2
2020-05-29,5,40,0,10,0,2
2020-05-30,1,41,9,19,0,2
2020-05-31,6,47,1,20,0,2
2020-06-01,2,49,2,22,0,2
2020-06-03,1,50,0,22,0,2
2020-06-04,9,59,6,28,0,2
2020-06-05,1,60,1,29,0,2
2020-06-06,0,60,6,35,0,2
2020-06-07,3,63,3,38,0,2
2020-06-08,12,75,2,40,0,2
2020-06-09,2,77,0,40,0,2
2020-06-10,6,83,4,44,0,2
2020-06-11,9,92,0,44,0,2
2020-06-12,3,95,12,56,0,2
2020-06-13,0,95,1,57,0,2
2020-06-14,4,99,0,57,0,2
2020-06-15,4,103,3,60,0,2
2020-06-16,0,103,1,61,0,2
2020-06-17,5,108,3,64,0,2
2020-06-18,3,111,8,72,0,2
2020-06-19,0,111,3,75,0,2
2020-06-20,2,113,0,75,0,2
2020-06-21,0,113,0,75,1,3
2020-06-22,3,116,16,91,0,3
2020-06-23,0,116,6,97,0,3
2020-06-24,1,117,4,101,0,3
2020-06-25,1,118,2,103,0,3
2020-06-26,5,123,2,105,0,3
2020-06-27,3,126,0,105,0,3
2020-06-28,2,128,6,111,0,3
2020-06-29,5,133,2,113,0,3
2020-06-30,1,134,3,116,0,3
2020-07-01,3,137,1,117,0,3
2020-07-02,8,145,2,119,0,3
2020-07-03,3,148,1,120,0,3
2020-07-04,2,150,1,121,2,5
2020-07-05,1,151,4,125,0,5
2020-07-06,4,155,3,128,0,5
2020-07-07,3,158,6,134,0,5
2020-07-08,6,164,0,134,0,5
2020-07-09,2,166,0,134,0,5
2020-07-10,22,188,2,136,0,5
