dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-27,1,1,0,0,0,0
2020-05-31,6,7,0,0,0,0
2020-06-02,2,9,0,0,0,0
2020-06-03,10,19,0,0,0,0
2020-06-06,43,62,19,19,0,0
2020-06-07,1,63,22,41,0,0
2020-06-09,20,83,1,42,0,0
2020-06-11,0,83,21,63,0,0
2020-06-12,1,84,20,83,0,0
2020-06-14,0,84,1,84,0,0
2020-06-15,1,85,0,84,0,0
2020-06-16,1,86,0,84,0,0
2020-06-18,1,87,0,84,0,0
2020-06-26,0,87,2,86,0,0
2020-06-28,1,88,0,86,0,0
2020-06-29,0,88,1,87,0,0
2020-06-30,2,90,0,87,0,0
2020-07-01,3,93,0,87,0,0
2020-07-03,2,95,0,87,0,0
2020-07-04,4,99,0,87,0,0
2020-07-05,3,102,0,87,0,0
2020-07-06,1,103,0,87,0,0
2020-07-07,1,104,1,88,0,0
2020-07-08,10,114,0,88,0,0
2020-07-09,1,115,2,90,0,0
2020-07-10,0,115,3,93,0,0
