dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d,Total Samples Tested,daily_test
2020-01-30,,,1.0,1.0,,,,
2020-02-02,,,1.0,2.0,,,,
2020-02-03,,,1.0,3.0,,,,
2020-03-02,,,2.0,5.0,,,,
2020-03-03,,,1.0,6.0,,,,
2020-03-04,5.0,5.0,17.0,23.0,,,,
2020-03-05,1.0,6.0,1.0,24.0,,,,
2020-03-06,,,1.0,25.0,,,,
2020-03-07,2.0,8.0,1.0,26.0,,,,
2020-03-08,,,5.0,31.0,,,,
2020-03-09,4.0,12.0,5.0,36.0,,,,
2020-03-10,4.0,16.0,11.0,47.0,,,,
2020-03-11,8.0,24.0,,,,,,
2020-03-12,4.0,28.0,4.0,51.0,2.0,2.0,,
2020-03-13,6.0,34.0,3.0,54.0,2.0,4.0,6500.0,6500.0
2020-03-14,11.0,45.0,,,,,,
2020-03-15,8.0,53.0,2.0,56.0,,,,
2020-03-16,12.0,65.0,2.0,58.0,,,,
2020-03-17,14.0,79.0,5.0,63.0,,,,
2020-03-18,22.0,101.0,3.0,66.0,,,13125.0,6625.0
2020-03-19,21.0,122.0,5.0,71.0,1.0,5.0,13316.0,191.0
2020-03-19,21.0,122.0,5.0,71.0,1.0,5.0,14175.0,859.0
2020-03-20,52.0,174.0,7.0,78.0,,,14376.0,201.0
2020-03-20,52.0,174.0,7.0,78.0,,,15404.0,1028.0
2020-03-21,67.0,241.0,8.0,86.0,3.0,8.0,16911.0,1210.0
2020-03-21,67.0,241.0,8.0,86.0,3.0,8.0,15701.0,297.0
2020-03-22,59.0,300.0,8.0,94.0,2.0,10.0,16999.0,88.0
2020-03-22,59.0,300.0,8.0,94.0,2.0,10.0,18127.0,1128.0
2020-03-23,82.0,382.0,9.0,103.0,3.0,13.0,18383.0,256.0
2020-03-23,82.0,382.0,9.0,103.0,3.0,13.0,20707.0,2324.0
2020-03-24,63.0,445.0,12.0,115.0,1.0,14.0,20864.0,157.0
2020-03-24,63.0,445.0,12.0,115.0,1.0,14.0,22694.0,1830.0
2020-03-25,75.0,520.0,10.0,125.0,1.0,15.0,25144.0,2450.0
