dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d,Total Tested,daily_test
2020-03-19,1.0,1.0,,,,,,
2020-03-20,4.0,5.0,,,,,,
2020-03-22,1.0,6.0,,,,,,
2020-03-23,1.0,7.0,,,,,,
2020-03-27,1.0,8.0,,,,,,
2020-03-30,5.0,13.0,,,,,,
2020-03-31,2.0,15.0,,,,,,
2020-04-01,2.0,17.0,,,,,,
2020-04-02,1.0,18.0,,,,,124.0,124.0
2020-04-04,,,3.0,3.0,,,,
2020-04-05,,,2.0,5.0,,,,
2020-04-07,,,2.0,7.0,,,,
2020-04-08,,,,,,,184.0,60.0
2020-04-10,1.0,19.0,,,,,223.0,39.0
2020-04-11,,,,,,,264.0,41.0
2020-04-12,2.0,21.0,,,,,279.0,15.0
2020-04-13,,,,,,,296.0,17.0
2020-04-14,,,,,,,309.0,13.0
2020-04-15,,,2.0,9.0,,,317.0,8.0
2020-04-16,,,,,,,337.0,20.0
2020-04-17,,,,,,,358.0,21.0
2020-04-18,2.0,23.0,,,,,381.0,23.0
2020-04-19,3.0,26.0,4.0,13.0,,,430.0,49.0
2020-04-20,,,1.0,14.0,,,453.0,23.0
2020-04-21,1.0,27.0,,,,,497.0,44.0
2020-04-22,,,,,,,529.0,32.0
2020-04-23,,,,,,,599.0,70.0
2020-04-24,,,1.0,15.0,,,638.0,39.0
2020-04-25,1.0,28.0,,,,,734.0,96.0
2020-04-26,8.0,36.0,2.0,17.0,,,756.0,22.0
2020-04-27,9.0,45.0,,,,,843.0,87.0
2020-04-28,11.0,56.0,,,,,924.0,81.0
2020-04-29,12.0,68.0,,,,,1012.0,88.0
2020-04-30,6.0,74.0,1.0,18.0,,,1147.0,135.0
2020-05-01,14.0,88.0,,,,,1252.0,105.0
2020-05-02,6.0,94.0,1.0,19.0,,,1462.0,210.0
2020-05-03,3.0,97.0,,,1.0,1.0,1616.0,154.0
2020-05-04,5.0,102.0,2.0,21.0,,,1678.0,62.0
2020-05-05,17.0,119.0,,,,,1713.0,35.0
2020-05-06,5.0,124.0,,,,,1785.0,72.0
2020-05-07,11.0,135.0,,,,,1845.0,60.0
2020-05-08,11.0,146.0,,,1.0,2.0,1913.0,68.0
2020-05-09,23.0,169.0,3.0,24.0,,,2055.0,142.0
2020-05-10,4.0,173.0,,,1.0,3.0,2142.0,87.0
2020-05-11,8.0,181.0,4.0,28.0,,,2177.0,35.0
2020-05-12,6.0,187.0,2.0,30.0,,,2276.0,99.0
2020-05-13,4.0,191.0,,,,,2420.0,144.0
2020-05-14,,,7.0,37.0,,,2505.0,85.0
2020-05-15,,,3.0,40.0,,,2586.0,81.0
2020-05-16,,,11.0,51.0,,,2718.0,132.0
2020-05-17,,,,,,,2812.0,94.0
2020-05-18,5.0,196.0,3.0,54.0,,,2892.0,80.0
2020-05-19,3.0,199.0,3.0,57.0,,,3031.0,139.0
2020-05-20,3.0,202.0,79.0,136.0,,,,
2020-05-21,16.0,218.0,42.0,178.0,,,3369.0,338.0
2020-05-22,1.0,219.0,,,,,3531.0,162.0
