dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d,Total Tested,daily_test
2020-03-02,,,1.0,1.0,,,,
2020-03-05,1.0,1.0,,,,,,
2020-03-06,,,1.0,2.0,,,,
2020-03-09,1.0,2.0,,,,,,
2020-03-11,1.0,3.0,,,,,,
2020-03-12,,,,,1.0,1.0,,
2020-03-13,1.0,4.0,,,,,,
2020-03-17,2.0,6.0,,,,,,
2020-03-18,1.0,7.0,,,,,,
2020-03-19,3.0,10.0,,,,,,
2020-03-20,6.0,16.0,,,,,,
2020-03-21,7.0,23.0,,,,,,
2020-03-22,1.0,24.0,,,,,,
2020-03-23,2.0,26.0,,,,,,
2020-03-25,5.0,31.0,,,,,,
2020-03-26,4.0,35.0,,,,,,
2020-03-27,1.0,36.0,,,,,,
2020-03-28,9.0,45.0,,,,,,
2020-03-29,23.0,68.0,6.0,8.0,2.0,3.0,,
2020-03-30,25.0,93.0,,,,,,
2020-03-31,23.0,116.0,,,,,,
2020-04-01,32.0,148.0,,,,,2621.0,2621.0
2020-04-02,141.0,289.0,2.0,10.0,2.0,5.0,,
2020-04-03,93.0,382.0,,,2.0,7.0,,
2020-04-04,59.0,441.0,8.0,18.0,,,,
2020-04-05,58.0,499.0,,,1.0,8.0,,
2020-04-06,22.0,521.0,,,,,,
2020-04-07,51.0,572.0,4.0,22.0,2.0,10.0,9041.0,6420.0
2020-04-08,93.0,665.0,1.0,23.0,,,,
2020-04-09,51.0,716.0,4.0,27.0,3.0,13.0,9968.0,927.0
2020-04-10,183.0,899.0,2.0,29.0,2.0,15.0,11061.0,1093.0
2020-04-11,166.0,1065.0,,,5.0,20.0,11709.0,648.0
2020-04-12,85.0,1150.0,1.0,30.0,5.0,25.0,14036.0,2327.0
2020-04-13,356.0,1506.0,3.0,33.0,4.0,29.0,15032.0,996.0
2020-04-14,51.0,1557.0,,,2.0,31.0,16282.0,1250.0
2020-04-15,17.0,1574.0,10.0,43.0,2.0,33.0,16605.0,323.0
2020-04-16,62.0,1636.0,11.0,54.0,6.0,39.0,18784.0,2179.0
2020-04-17,67.0,1703.0,20.0,74.0,4.0,43.0,21409.0,2625.0
2020-04-18,186.0,1889.0,135.0,209.0,1.0,44.0,22283.0,874.0
2020-04-19,110.0,1999.0,83.0,292.0,2.0,46.0,24387.0,2104.0
2020-04-20,78.0,2077.0,141.0,433.0,2.0,48.0,25900.0,1513.0
2020-04-21,75.0,2152.0,180.0,613.0,,,26627.0,727.0
2020-04-22,92.0,2244.0,113.0,726.0,1.0,49.0,28309.0,1682.0
2020-04-23,128.0,2372.0,84.0,810.0,2.0,51.0,30560.0,2251.0
2020-04-24,138.0,2510.0,49.0,859.0,3.0,54.0,33672.0,3112.0
2020-04-25,111.0,2621.0,12.0,871.0,1.0,55.0,35519.0,1847.0
2020-04-26,293.0,2914.0,8.0,879.0,,,37613.0,2094.0
2020-04-27,190.0,3104.0,,,,,39911.0,2298.0
2020-04-28,206.0,3310.0,201.0,1080.0,,,43370.0,3459.0
2020-04-29,125.0,3435.0,14.0,1094.0,2.0,57.0,47225.0,3855.0
2020-04-30,76.0,3511.0,2.0,1096.0,3.0,60.0,0.0,-47225.0
2020-05-01,223.0,3734.0,73.0,1169.0,2.0,62.0,0.0,0.0
2020-05-02,384.0,4118.0,89.0,1258.0,3.0,65.0,58210.0,58210.0
2020-05-03,427.0,4545.0,106.0,1364.0,,,60246.0,2036.0
2020-05-04,349.0,4894.0,69.0,1433.0,,,64108.0,3862.0
2020-05-05,206.0,5100.0,37.0,1470.0,,,67852.0,3744.0
2020-05-06,428.0,5528.0,74.0,1544.0,1.0,66.0,71934.0,4082.0
2020-05-07,448.0,5976.0,389.0,1933.0,1.0,67.0,77234.0,5300.0
2020-05-08,338.0,6314.0,89.0,2022.0,2.0,69.0,81367.0,4133.0
2020-05-09,224.0,6538.0,,,,,84226.0,2859.0
2020-05-10,381.0,6919.0,49.0,2071.0,5.0,74.0,93810.0,9584.0
2020-05-11,310.0,7229.0,60.0,2131.0,,,97678.0,3868.0
2020-05-12,406.0,7635.0,383.0,2514.0,13.0,87.0,106109.0,8431.0
2020-05-13,359.0,7994.0,346.0,2860.0,20.0,107.0,113345.0,7236.0
2020-05-14,472.0,8466.0,187.0,3047.0,9.0,116.0,119736.0,6391.0
2020-05-15,425.0,8891.0,473.0,3520.0,8.0,124.0,125189.0,5453.0
2020-05-16,438.0,9329.0,408.0,3928.0,6.0,130.0,130845.0,5656.0
2020-05-17,422.0,9751.0,276.0,4204.0,19.0,149.0,135791.0,4946.0
2020-05-18,299.0,10050.0,283.0,4487.0,12.0,161.0,139727.0,3936.0
2020-05-19,500.0,10550.0,265.0,4752.0,6.0,167.0,145854.0,6127.0
2020-05-20,534.0,11084.0,442.0,5194.0,10.0,177.0,150282.0,4428.0
2020-05-21,571.0,11655.0,375.0,5569.0,18.0,195.0,154385.0,4103.0
2020-05-22,660.0,12315.0,330.0,5899.0,14.0,209.0,160255.0,5870.0
