dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d,Total Tested,daily_test
2020-03-19,2.0,2.0,,,,,,
2020-03-20,4.0,6.0,1.0,1.0,,,,
2020-03-21,6.0,12.0,,,1.0,1.0,,
2020-03-22,4.0,16.0,,,,,,
2020-03-23,11.0,27.0,,,1.0,2.0,,
2020-03-24,6.0,33.0,,,,,,
2020-03-25,2.0,35.0,,,,,,
2020-03-26,6.0,41.0,,,,,,
2020-03-27,3.0,44.0,,,,,,
2020-03-28,8.0,52.0,,,,,,
2020-03-29,8.0,60.0,1.0,2.0,5.0,7.0,,
2020-03-30,6.0,66.0,2.0,4.0,2.0,9.0,,
2020-03-31,4.0,70.0,2.0,6.0,,,,
2020-04-01,13.0,83.0,,,,,,
2020-04-02,1.0,84.0,5.0,11.0,1.0,10.0,,
2020-04-03,7.0,91.0,,,2.0,12.0,,
2020-04-04,13.0,104.0,3.0,14.0,1.0,13.0,,
2020-04-05,19.0,123.0,8.0,22.0,2.0,15.0,,
2020-04-06,18.0,141.0,1.0,23.0,1.0,16.0,,
2020-04-07,29.0,170.0,3.0,26.0,2.0,18.0,,
2020-04-08,11.0,181.0,,,2.0,20.0,4224.0,4224.0
2020-04-09,76.0,257.0,1.0,27.0,2.0,22.0,,
2020-04-10,116.0,373.0,7.0,34.0,1.0,23.0,7718.0,3494.0
2020-04-11,90.0,463.0,11.0,45.0,3.0,26.0,9763.0,2045.0
2020-04-12,48.0,511.0,,,2.0,28.0,11715.0,1952.0
2020-04-13,56.0,567.0,10.0,55.0,2.0,30.0,14251.0,2536.0
2020-04-14,78.0,645.0,5.0,60.0,2.0,32.0,14980.0,729.0
2020-04-15,116.0,761.0,5.0,65.0,5.0,37.0,19197.0,4217.0
2020-04-16,163.0,924.0,9.0,74.0,3.0,40.0,20903.0,1706.0
2020-04-17,170.0,1094.0,13.0,87.0,5.0,45.0,23483.0,2580.0
2020-04-18,277.0,1371.0,7.0,94.0,12.0,57.0,26102.0,2619.0
2020-04-19,367.0,1738.0,12.0,106.0,10.0,67.0,29104.0,3002.0
2020-04-20,196.0,1934.0,26.0,132.0,8.0,75.0,33316.0,4212.0
2020-04-21,239.0,2173.0,8.0,140.0,19.0,94.0,36829.0,3513.0
2020-04-22,229.0,2402.0,40.0,180.0,13.0,107.0,39421.0,2592.0
2020-04-23,217.0,2619.0,79.0,259.0,9.0,116.0,42384.0,2963.0
2020-04-24,191.0,2810.0,7.0,266.0,15.0,131.0,46743.0,4359.0
2020-04-25,256.0,3066.0,17.0,283.0,6.0,137.0,48315.0,1572.0
2020-04-26,230.0,3296.0,31.0,314.0,18.0,155.0,51091.0,2776.0
2020-04-27,247.0,3543.0,81.0,395.0,11.0,166.0,53575.0,2484.0
2020-04-28,226.0,3769.0,40.0,435.0,19.0,185.0,56101.0,2526.0
2020-04-29,308.0,4077.0,93.0,528.0,16.0,201.0,59488.0,3387.0
2020-04-30,313.0,4390.0,86.0,614.0,17.0,218.0,64007.0,4519.0
2020-05-01,326.0,4716.0,123.0,737.0,22.0,240.0,68774.0,4767.0
2020-05-02,333.0,5049.0,160.0,897.0,26.0,266.0,74116.0,5342.0
2020-05-03,374.0,5423.0,146.0,1043.0,28.0,294.0,80060.0,5944.0
2020-05-04,376.0,5799.0,153.0,1196.0,29.0,323.0,84648.0,4588.0
2020-05-05,441.0,6240.0,186.0,1382.0,49.0,372.0,89632.0,4984.0
2020-05-06,380.0,6620.0,119.0,1501.0,28.0,400.0,95191.0,5559.0
2020-05-07,388.0,7008.0,209.0,1710.0,29.0,429.0,100553.0,5362.0
2020-05-08,390.0,7398.0,163.0,1873.0,24.0,453.0,105386.0,4833.0
2020-05-09,394.0,7792.0,219.0,2092.0,23.0,476.0,109650.0,4264.0
2020-05-10,398.0,8190.0,454.0,2546.0,21.0,497.0,113493.0,3843.0
2020-05-11,347.0,8537.0,235.0,2781.0,20.0,517.0,116470.0,2977.0
2020-05-12,362.0,8899.0,466.0,3247.0,24.0,541.0,119536.0,3066.0
2020-05-13,364.0,9263.0,316.0,3563.0,29.0,570.0,122297.0,2761.0
2020-05-14,324.0,9587.0,191.0,3754.0,20.0,590.0,124708.0,2411.0
2020-05-15,340.0,9927.0,282.0,4036.0,20.0,610.0,127859.0,3151.0
2020-05-16,1057.0,10984.0,273.0,4309.0,19.0,629.0,138407.0,10548.0
2020-05-17,391.0,11375.0,191.0,4500.0,34.0,663.0,143600.0,5193.0
2020-05-18,366.0,11741.0,305.0,4805.0,35.0,698.0,148824.0,5224.0
2020-05-19,395.0,12136.0,239.0,5044.0,25.0,723.0,154674.0,5850.0
2020-05-20,398.0,12534.0,176.0,5220.0,30.0,753.0,160772.0,6098.0
2020-05-21,371.0,12905.0,269.0,5489.0,24.0,777.0,166152.0,5380.0
2020-05-22,363.0,13268.0,392.0,5881.0,29.0,806.0,172562.0,6410.0
2020-05-23,396.0,13664.0,289.0,6170.0,27.0,833.0,178068.0,5506.0
2020-05-24,394.0,14058.0,243.0,6413.0,29.0,862.0,182868.0,4800.0
2020-05-25,405.0,14463.0,224.0,6637.0,30.0,892.0,186361.0,3493.0
2020-05-26,361.0,14824.0,501.0,7138.0,27.0,919.0,189313.0,2952.0
2020-05-27,376.0,15200.0,410.0,7548.0,23.0,942.0,193863.0,4550.0
2020-05-28,367.0,15567.0,454.0,8002.0,22.0,964.0,198048.0,4185.0
2020-05-29,372.0,15939.0,608.0,8610.0,20.0,984.0,201481.0,3433.0
2020-05-30,412.0,16351.0,621.0,9231.0,27.0,1011.0,205780.0,4299.0
2020-05-31,438.0,16789.0,689.0,9920.0,31.0,1042.0,211930.0,6150.0
2020-06-01,423.0,17212.0,861.0,10781.0,25.0,1067.0,216258.0,4328.0
2020-06-02,415.0,17627.0,1114.0,11895.0,29.0,1096.0,221610.0,5352.0
2020-06-03,485.0,18112.0,318.0,12213.0,30.0,1126.0,227898.0,6288.0
2020-06-04,492.0,18604.0,455.0,12668.0,33.0,1159.0,233921.0,6023.0
2020-06-05,510.0,19114.0,344.0,13012.0,35.0,1194.0,239911.0,5990.0
2020-06-06,498.0,19612.0,313.0,13325.0,29.0,1223.0,245606.0,5695.0
2020-06-07,480.0,20092.0,319.0,13644.0,30.0,1253.0,251686.0,6080.0
2020-06-08,477.0,20569.0,321.0,13965.0,31.0,1284.0,256289.0,4603.0
2020-06-09,470.0,21039.0,409.0,14374.0,33.0,1317.0,261587.0,5298.0
2020-06-10,510.0,21549.0,370.0,14744.0,34.0,1351.0,266404.0,4817.0
2020-06-11,513.0,22062.0,366.0,15110.0,38.0,1389.0,272924.0,6520.0
2020-06-12,495.0,22557.0,392.0,15502.0,31.0,1420.0,278137.0,5213.0
2020-06-13,517.0,23074.0,390.0,15892.0,33.0,1453.0,283623.0,5486.0
2020-06-14,511.0,23585.0,442.0,16334.0,29.0,1482.0,288565.0,4942.0
2020-06-15,514.0,24099.0,339.0,16673.0,28.0,1510.0,292909.0,4344.0
