dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d,Total Tested,daily_test
2020-03-04,2.0,2.0,12.0,12.0,,,,
2020-03-17,1.0,3.0,,,,,,
2020-03-18,2.0,5.0,,,,,,
2020-03-20,2.0,7.0,,,,,,
2020-03-21,2.0,9.0,,,,,,
2020-03-23,7.0,16.0,,,,,,
2020-03-24,2.0,18.0,,,,,,
2020-03-25,1.0,19.0,,,,,,
2020-03-26,1.0,20.0,,,,,,
2020-03-27,1.0,21.0,,,,,,
2020-03-28,2.0,23.0,,,,,,
2020-03-29,,,14.0,26.0,,,,
2020-03-30,1.0,24.0,6.0,32.0,,,,
2020-03-31,7.0,31.0,4.0,36.0,,,,
2020-04-01,,,3.0,39.0,,,,
2020-04-02,6.0,37.0,,,,,,
2020-04-03,9.0,46.0,1.0,40.0,,,1325.0,1325.0
2020-04-04,26.0,72.0,1.0,41.0,,,,
2020-04-05,6.0,78.0,,,,,,
2020-04-06,20.0,98.0,,,2.0,2.0,,
2020-04-07,33.0,131.0,2.0,43.0,,,2520.0,1195.0
2020-04-08,24.0,155.0,1.0,44.0,,,2650.0,130.0
2020-04-09,3.0,158.0,,,,,2964.0,314.0
2020-04-10,6.0,164.0,4.0,48.0,,,3527.0,563.0
2020-04-11,3.0,167.0,,,,,3663.0,136.0
2020-04-12,16.0,183.0,8.0,56.0,1.0,3.0,3903.0,240.0
2020-04-13,1.0,184.0,7.0,63.0,,,4489.0,586.0
2020-04-14,2.0,186.0,4.0,67.0,,,5210.0,721.0
2020-04-15,6.0,192.0,2.0,69.0,,,7388.0,2178.0
2020-04-16,11.0,203.0,8.0,77.0,,,8064.0,676.0
2020-04-17,8.0,211.0,21.0,98.0,,,8884.0,820.0
2020-04-18,9.0,220.0,14.0,112.0,,,10454.0,1570.0
2020-04-19,18.0,238.0,4.0,116.0,,,12687.0,2233.0
2020-04-20,1.0,239.0,37.0,153.0,,,13894.0,1207.0
2020-04-21,4.0,243.0,6.0,159.0,,,14562.0,668.0
2020-04-22,9.0,252.0,11.0,170.0,,,15561.0,999.0
2020-04-23,6.0,258.0,12.0,182.0,,,17582.0,2021.0
2020-04-24,5.0,263.0,16.0,198.0,,,18845.0,1263.0
2020-04-25,12.0,275.0,5.0,203.0,,,20270.0,1425.0
2020-04-26,9.0,284.0,8.0,211.0,,,21467.0,1197.0
2020-04-27,5.0,289.0,14.0,225.0,,,22993.0,1526.0
2020-04-28,7.0,296.0,11.0,236.0,,,24826.0,1833.0
2020-04-29,3.0,299.0,1.0,237.0,,,26148.0,1322.0
2020-04-30,28.0,327.0,10.0,247.0,1.0,4.0,28202.0,2054.0
2020-05-01,18.0,345.0,6.0,253.0,,,30191.0,1989.0
2020-05-02,19.0,364.0,1.0,254.0,1.0,5.0,31200.0,1009.0
2020-05-03,66.0,430.0,3.0,257.0,,,35278.0,4078.0
2020-05-04,75.0,505.0,9.0,266.0,1.0,6.0,38183.0,2905.0
2020-05-05,31.0,536.0,2.0,268.0,,,40982.0,2799.0
2020-05-06,46.0,582.0,4.0,272.0,1.0,7.0,43279.0,2297.0
2020-05-07,31.0,613.0,,,,,46495.0,3216.0
2020-05-08,22.0,635.0,19.0,291.0,1.0,8.0,49746.0,3251.0
2020-05-09,28.0,663.0,11.0,302.0,1.0,9.0,53282.0,3536.0
2020-05-10,28.0,691.0,10.0,312.0,1.0,10.0,56983.0,3701.0
2020-05-11,27.0,718.0,37.0,349.0,1.0,11.0,59735.0,2752.0
2020-05-12,50.0,768.0,5.0,354.0,,,62377.0,2642.0
2020-05-13,13.0,781.0,76.0,430.0,,,65785.0,3408.0
2020-05-14,25.0,806.0,21.0,451.0,,,69191.0,3406.0
2020-05-15,36.0,842.0,25.0,476.0,2.0,13.0,72326.0,3135.0
2020-05-16,33.0,875.0,50.0,526.0,,,75097.0,2771.0
2020-05-17,23.0,898.0,48.0,574.0,1.0,14.0,78029.0,2932.0
2020-05-18,18.0,916.0,36.0,610.0,,,80698.0,2669.0
2020-05-19,36.0,952.0,29.0,639.0,,,82544.0,1846.0
2020-05-20,29.0,981.0,21.0,660.0,,,83944.0,1400.0
2020-05-21,37.0,1018.0,33.0,693.0,,,88138.0,4194.0
2020-05-22,37.0,1055.0,25.0,718.0,2.0,16.0,91119.0,2981.0
2020-05-23,64.0,1119.0,44.0,762.0,,,94035.0,2916.0
2020-05-24,53.0,1172.0,15.0,777.0,,,97006.0,2971.0
2020-05-25,29.0,1201.0,37.0,814.0,,,99987.0,2981.0
2020-05-26,92.0,1293.0,22.0,836.0,,,102018.0,2031.0
2020-05-27,76.0,1369.0,14.0,850.0,2.0,18.0,104747.0,2729.0
2020-05-28,123.0,1492.0,43.0,893.0,1.0,19.0,108031.0,3284.0
2020-05-29,217.0,1709.0,59.0,952.0,,,110940.0,2909.0
2020-05-30,202.0,1911.0,31.0,983.0,1.0,20.0,114683.0,3743.0
2020-05-31,168.0,2079.0,77.0,1060.0,,,118138.0,3455.0
2020-06-01,265.0,2344.0,7.0,1067.0,1.0,21.0,121779.0,3641.0
2020-06-02,296.0,2640.0,14.0,1081.0,2.0,23.0,124564.0,2785.0
2020-06-03,302.0,2942.0,20.0,1101.0,,,127895.0,3331.0
2020-06-04,327.0,3269.0,34.0,1135.0,1.0,24.0,132575.0,4680.0
2020-06-05,316.0,3585.0,86.0,1221.0,,,137452.0,4877.0
2020-06-06,355.0,3940.0,71.0,1292.0,,,141688.0,4236.0
2020-06-07,496.0,4436.0,194.0,1486.0,4.0,28.0,145722.0,4034.0
2020-06-08,406.0,4842.0,226.0,1712.0,11.0,39.0,150220.0,4498.0
2020-06-09,355.0,5197.0,107.0,1819.0,6.0,45.0,153692.0,3472.0
2020-06-10,370.0,5567.0,381.0,2200.0,7.0,52.0,158470.0,4778.0
2020-06-11,389.0,5956.0,73.0,2273.0,12.0,64.0,162967.0,4497.0
2020-06-12,366.0,6322.0,214.0,2487.0,6.0,70.0,167501.0,4534.0
2020-06-13,415.0,6737.0,328.0,2815.0,8.0,78.0,171560.0,4059.0
2020-06-14,459.0,7196.0,200.0,3015.0,10.0,88.0,185722.0,14162.0
2020-06-15,514.0,7710.0,562.0,3577.0,12.0,100.0,189914.0,4192.0
2020-06-16,550.0,8260.0,183.0,3760.0,18.0,118.0,193421.0,3507.0
2020-06-17,560.0,8820.0,204.0,3964.0,12.0,130.0,197703.0,4282.0
2020-06-18,386.0,9206.0,604.0,4568.0,4.0,134.0,202808.0,5105.0
2020-06-19,525.0,9731.0,333.0,4901.0,10.0,144.0,207675.0,4867.0
2020-06-20,480.0,10211.0,239.0,5140.0,5.0,149.0,212430.0,4755.0
2020-06-21,412.0,10623.0,429.0,5569.0,11.0,160.0,217797.0,5367.0
2020-06-22,390.0,11013.0,359.0,5928.0,9.0,169.0,222948.0,5151.0
2020-06-23,495.0,11508.0,582.0,6510.0,9.0,178.0,226951.0,4003.0
2020-06-24,490.0,11998.0,427.0,6937.0,10.0,188.0,231673.0,4722.0
2020-06-25,453.0,12451.0,455.0,7392.0,10.0,198.0,236898.0,5225.0
2020-06-26,421.0,12872.0,636.0,8028.0,13.0,211.0,241941.0,5043.0
2020-06-27,543.0,13415.0,456.0,8484.0,7.0,218.0,247139.0,5198.0
2020-06-28,402.0,13817.0,445.0,8929.0,5.0,223.0,252356.0,5217.0
2020-06-29,381.0,14198.0,585.0,9514.0,9.0,232.0,260341.0,7985.0
