dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d,Total Tested,daily_test
2020-03-09,1,1,,,,,,
2020-03-13,1,2,,,,,,
2020-03-16,1,3,,,,,,
2020-03-18,1,4,,,,,,
2020-03-24,1,5,,,1.0,1.0,,
2020-03-25,5,10,,,,,,
2020-03-26,3,13,,,,,,
2020-03-27,6,19,,,,,,
2020-03-28,13,32,,,,,,
2020-03-29,5,37,1.0,1.0,1.0,2.0,,
2020-03-30,11,48,,,,,,
2020-03-31,6,54,,,1.0,3.0,,
2020-04-01,7,61,1.0,2.0,,,,
2020-04-02,8,69,1.0,3.0,,,,
2020-04-03,5,74,,,,,,
2020-04-04,17,91,,,,,,
2020-04-05,14,105,1.0,4.0,,,1551.0,1551.0
2020-04-06,3,108,,,,,,
2020-04-07,16,124,,,1.0,4.0,,
2020-04-08,33,157,2.0,6.0,,,,
2020-04-09,26,183,,,1.0,5.0,,
2020-04-10,23,206,,,,,2961.0,1410.0
2020-04-11,17,223,,,,,3206.0,245.0
2020-04-12,21,244,,,,,3600.0,394.0
2020-04-13,25,269,10.0,16.0,,,4065.0,465.0
2020-04-14,8,277,14.0,30.0,,,4619.0,554.0
2020-04-15,22,299,6.0,36.0,,,5171.0,552.0
2020-04-16,14,313,2.0,38.0,,,5680.0,509.0
2020-04-17,14,327,4.0,42.0,1.0,6.0,6438.0,758.0
2020-04-18,13,340,9.0,51.0,,,6937.0,499.0
2020-04-19,13,353,5.0,56.0,,,7895.0,958.0
2020-04-20,14,367,15.0,71.0,,,8612.0,717.0
2020-04-21,12,379,10.0,81.0,,,9220.0,608.0
2020-04-22,27,406,11.0,92.0,,,10039.0,819.0
2020-04-23,27,433,,,,,10977.0,938.0
2020-04-24,20,453,17.0,109.0,,,11764.0,787.0
2020-04-25,40,493,3.0,112.0,1.0,7.0,12835.0,1071.0
2020-04-26,33,526,25.0,137.0,,,13959.0,1124.0
2020-04-27,23,549,27.0,164.0,1.0,8.0,14988.0,1029.0
2020-04-28,19,568,12.0,176.0,1.0,9.0,16619.0,1631.0
2020-04-29,16,584,16.0,192.0,,,18450.0,1831.0
2020-04-30,33,617,24.0,216.0,,,19746.0,1296.0
2020-05-01,25,642,31.0,247.0,,,21695.0,1949.0
2020-05-02,27,669,7.0,254.0,,,23406.0,1711.0
2020-05-03,35,704,33.0,287.0,,,26038.0,2632.0
2020-05-04,25,729,16.0,303.0,,,28199.0,2161.0
2020-05-05,15,744,17.0,320.0,,,31312.0,3113.0
2020-05-06,34,778,2.0,322.0,,,34277.0,2965.0
2020-05-07,18,796,13.0,335.0,1.0,10.0,37706.0,3429.0
2020-05-08,30,826,29.0,364.0,,,42427.0,4721.0
2020-05-09,13,839,4.0,368.0,,,44753.0,2326.0
2020-05-10,25,864,15.0,383.0,,,47080.0,2327.0
2020-05-11,18,882,44.0,427.0,1.0,11.0,51334.0,4254.0
2020-05-12,55,937,28.0,455.0,,,53726.0,2392.0
2020-05-13,37,974,11.0,466.0,1.0,12.0,57111.0,3385.0
2020-05-14,12,986,19.0,485.0,,,63515.0,6404.0
2020-05-15,30,1016,28.0,513.0,,,70306.0,6791.0
2020-05-16,108,1124,29.0,542.0,1.0,13.0,76191.0,5885.0
2020-05-17,62,1186,33.0,575.0,1.0,14.0,80934.0,4743.0
2020-05-18,106,1292,34.0,609.0,2.0,16.0,88601.0,7667.0
2020-05-19,28,1320,38.0,647.0,2.0,18.0,96826.0,8225.0
2020-05-20,73,1393,31.0,678.0,1.0,19.0,101950.0,5124.0
2020-05-21,59,1452,6.0,684.0,2.0,21.0,107108.0,5158.0
2020-05-22,40,1492,36.0,720.0,,,114859.0,7751.0
2020-05-23,80,1572,54.0,774.0,1.0,22.0,124074.0,9215.0
