dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d,Total Tested,daily_test
2020-03-31,1.0,1.0,,,,,,
2020-04-02,1.0,2.0,,,,,,
2020-04-05,1.0,3.0,,,,,,
2020-04-06,1.0,4.0,,,,,,
2020-04-09,9.0,13.0,,,1.0,1.0,,
2020-04-10,1.0,14.0,,,,,1340.0,1340.0
2020-04-11,3.0,17.0,,,,,1546.0,206.0
2020-04-12,2.0,19.0,,,1.0,2.0,1683.0,137.0
2020-04-13,5.0,24.0,,,,,1982.0,299.0
2020-04-14,3.0,27.0,,,,,2334.0,352.0
2020-04-15,1.0,28.0,,,,,,
2020-04-16,1.0,29.0,,,,,,
2020-04-17,3.0,32.0,,,,,3143.0,809.0
2020-04-18,1.0,33.0,,,,,3431.0,288.0
2020-04-19,8.0,41.0,,,,,3646.0,215.0
2020-04-20,5.0,46.0,4.0,4.0,,,4235.0,589.0
2020-04-21,,,,,,,0.0,-4235.0
2020-04-22,,,,,,,5176.0,5176.0
2020-04-23,7.0,53.0,4.0,8.0,1.0,3.0,5380.0,204.0
2020-04-24,6.0,59.0,,,,,6162.0,782.0
2020-04-25,8.0,67.0,,,,,6970.0,808.0
2020-04-26,15.0,82.0,5.0,13.0,,,7806.0,836.0
2020-04-27,21.0,103.0,4.0,17.0,,,8757.0,951.0
2020-04-28,2.0,105.0,2.0,19.0,,,9408.0,651.0
2020-04-29,2.0,107.0,,,,,10268.0,860.0
2020-04-30,3.0,110.0,,,,,10987.0,719.0
2020-05-01,3.0,113.0,2.0,21.0,,,11771.0,784.0
2020-05-02,2.0,115.0,1.0,22.0,,,12393.0,622.0
2020-05-03,,,5.0,27.0,,,13055.0,662.0
2020-05-04,,,,,,,13832.0,777.0
2020-05-05,10.0,125.0,6.0,33.0,,,15064.0,1232.0
2020-05-06,2.0,127.0,4.0,37.0,,,15908.0,844.0
2020-05-07,5.0,132.0,4.0,41.0,,,17101.0,1193.0
2020-05-08,22.0,154.0,,,,,17219.0,118.0
2020-05-09,2.0,156.0,37.0,78.0,,,18632.0,1413.0
2020-05-10,1.0,157.0,,,,,20832.0,2200.0
2020-05-11,4.0,161.0,,,,,21201.0,369.0
2020-05-12,11.0,172.0,1.0,79.0,,,22815.0,1614.0
2020-05-13,5.0,177.0,8.0,87.0,,,25769.0,2954.0
2020-05-14,26.0,203.0,,,,,27789.0,2020.0
2020-05-15,8.0,211.0,10.0,97.0,,,29236.0,1447.0
2020-05-16,6.0,217.0,16.0,113.0,,,31025.0,1789.0
2020-05-17,6.0,223.0,,,,,33220.0,2195.0
2020-05-18,5.0,228.0,14.0,127.0,,,35359.0,2139.0
2020-05-19,20.0,248.0,,,,,37589.0,2230.0
2020-05-20,42.0,290.0,2.0,129.0,,,39402.0,1813.0
2020-05-21,13.0,303.0,7.0,136.0,,,41936.0,2534.0
2020-05-22,20.0,323.0,,,,,43988.0,2052.0
2020-05-23,27.0,350.0,5.0,141.0,,,45785.0,1797.0
2020-05-24,20.0,370.0,7.0,148.0,1.0,4.0,48641.0,2856.0
2020-05-25,35.0,405.0,,,,,50709.0,2068.0
2020-05-26,21.0,426.0,5.0,153.0,,,53309.0,2600.0
2020-05-27,7.0,433.0,0.0,153.0,,,55427.0,2118.0
2020-05-28,6.0,439.0,,,,,57250.0,1823.0
2020-05-29,82.0,521.0,63.0,216.0,1.0,5.0,59452.0,2202.0
2020-05-30,73.0,594.0,40.0,256.0,,,62916.0,3464.0
2020-05-31,41.0,635.0,,,,,65886.0,2970.0
2020-06-01,26.0,661.0,40.0,296.0,,,69187.0,3301.0
2020-06-02,61.0,722.0,,,,,71296.0,2109.0
2020-06-03,42.0,764.0,1.0,297.0,,,74499.0,3203.0
2020-06-04,63.0,827.0,69.0,366.0,1.0,6.0,77641.0,3142.0
2020-06-05,95.0,922.0,69.0,435.0,1.0,7.0,80097.0,2456.0
2020-06-06,106.0,1028.0,38.0,473.0,,,84444.0,4347.0
2020-06-07,75.0,1103.0,17.0,490.0,,,87721.0,3277.0
2020-06-08,187.0,1290.0,29.0,519.0,,,92325.0,4604.0
2020-06-09,126.0,1416.0,40.0,559.0,1.0,8.0,95099.0,2774.0
2020-06-10,135.0,1551.0,33.0,592.0,,,95500.0,401.0
2020-06-11,48.0,1599.0,38.0,630.0,,,99931.0,4431.0
2020-06-12,57.0,1656.0,55.0,685.0,,,102092.0,2161.0
2020-06-13,55.0,1711.0,131.0,816.0,,,103905.0,1813.0
2020-06-14,52.0,1763.0,89.0,905.0,,,106104.0,2199.0
2020-06-15,30.0,1793.0,95.0,1000.0,1.0,9.0,108576.0,2472.0
2020-06-16,46.0,1839.0,121.0,1121.0,,,110813.0,2237.0
2020-06-17,57.0,1896.0,30.0,1151.0,1.0,10.0,113004.0,2191.0
2020-06-18,23.0,1919.0,47.0,1198.0,1.0,11.0,115186.0,2182.0
2020-06-19,42.0,1961.0,137.0,1335.0,0.0,11.0,117569.0,2383.0
2020-06-20,63.0,2024.0,69.0,1404.0,,,120892.0,3323.0
2020-06-21,74.0,2098.0,2.0,1406.0,,,121770.0,878.0
2020-06-22,42.0,2140.0,63.0,1469.0,,,124008.0,2238.0
2020-06-23,53.0,2193.0,51.0,1520.0,,,126007.0,1999.0
2020-06-24,26.0,2219.0,55.0,1575.0,1.0,12.0,128214.0,2207.0
2020-06-25,44.0,2263.0,30.0,1605.0,,,131169.0,2955.0
2020-06-26,31.0,2294.0,42.0,1647.0,,,133082.0,1913.0
2020-06-27,45.0,2339.0,77.0,1724.0,,,135276.0,2194.0
2020-06-28,25.0,2364.0,69.0,1793.0,,,137438.0,2162.0
2020-06-29,62.0,2426.0,56.0,1849.0,3.0,15.0,139907.0,2469.0
2020-06-30,64.0,2490.0,35.0,1884.0,0.0,15.0,142641.0,2734.0
2020-07-01,35.0,2525.0,47.0,1931.0,,,145692.0,3051.0
2020-07-02,60.0,2585.0,57.0,1988.0,,,148738.0,3046.0
2020-07-03,112.0,2697.0,13.0,2001.0,,,151699.0,2961.0
2020-07-04,42.0,2739.0,34.0,2035.0,3.0,18.0,154618.0,2919.0
2020-07-05,68.0,2807.0,10.0,2045.0,1.0,19.0,156778.0,2160.0
2020-07-06,47.0,2854.0,23.0,2068.0,1.0,20.0,159176.0,2398.0
2020-07-07,164.0,3018.0,36.0,2104.0,2.0,22.0,161564.0,2388.0
2020-07-08,116.0,3134.0,66.0,2170.0,,,164504.0,2940.0
2020-07-09,134.0,3268.0,40.0,2210.0,1.0,23.0,167650.0,3146.0
2020-07-10,250.0,3518.0,14.0,2224.0,,,172032.0,4382.0
