dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d,Total Tested,daily_test
2020-01-30,,,1.0,1.0,,,,
2020-02-02,,,1.0,2.0,,,,
2020-02-03,,,1.0,3.0,,,,
2020-03-08,,,5.0,8.0,,,,
2020-03-09,,,1.0,9.0,,,,
2020-03-10,1.0,1.0,7.0,16.0,,,,
2020-03-12,,,2.0,18.0,,,,
2020-03-13,,,3.0,21.0,,,,
2020-03-15,,,2.0,23.0,,,,
2020-03-16,2.0,3.0,1.0,24.0,,,,
2020-03-19,1.0,4.0,,,,,,
2020-03-20,8.0,12.0,4.0,28.0,,,,
2020-03-21,8.0,20.0,4.0,32.0,,,,
2020-03-22,13.0,33.0,1.0,33.0,1.0,1.0,,
2020-03-23,25.0,58.0,3.0,36.0,,,,
2020-03-24,13.0,71.0,1.0,37.0,,,,
2020-03-25,8.0,79.0,1.0,38.0,,,,
2020-03-26,11.0,90.0,8.0,46.0,,,,
2020-03-27,37.0,127.0,2.0,48.0,,,,
2020-03-28,6.0,133.0,,,,,,
2020-03-29,13.0,146.0,26.0,74.0,2.0,3.0,,
2020-03-30,28.0,174.0,4.0,78.0,,,,
2020-03-31,7.0,181.0,4.0,82.0,1.0,4.0,,
2020-04-01,24.0,205.0,2.0,84.0,,,7965.0,7965.0
2020-04-02,21.0,226.0,2.0,86.0,,,8456.0,491.0
2020-04-03,9.0,235.0,14.0,100.0,,,9139.0,683.0
2020-04-04,11.0,246.0,8.0,108.0,,,9744.0,605.0
2020-04-05,8.0,254.0,6.0,114.0,,,10221.0,477.0
2020-04-06,13.0,267.0,3.0,117.0,,,10716.0,495.0
2020-04-07,8.0,275.0,12.0,129.0,1.0,5.0,11232.0,516.0
2020-04-08,9.0,284.0,13.0,142.0,,,11986.0,754.0
2020-04-09,12.0,296.0,13.0,155.0,,,12710.0,724.0
2020-04-10,7.0,303.0,27.0,182.0,,,13339.0,629.0
2020-04-11,10.0,313.0,19.0,201.0,1.0,6.0,14163.0,824.0
2020-04-12,2.0,315.0,36.0,237.0,,,14989.0,826.0
2020-04-13,3.0,318.0,19.0,256.0,,,15683.0,694.0
