dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d,Total Tested,daily_test
2020-03-07,2.0,2.0,,,,,,
2020-03-11,1.0,3.0,,,,,,
2020-03-17,5.0,8.0,,,,,,
2020-03-20,2.0,10.0,,,,,,
2020-03-21,3.0,13.0,,,,,,
2020-03-29,,,3.0,3.0,,,,
2020-04-03,1.0,14.0,,,,,,
2020-04-06,,,7.0,10.0,,,,
2020-04-10,1.0,15.0,1.0,11.0,,,,
2020-04-13,2.0,17.0,1.0,12.0,,,618.0,618.0
2020-04-14,,,,,,,760.0,142.0
2020-04-15,1.0,18.0,,,,,820.0,60.0
2020-04-16,,,2.0,14.0,,,917.0,97.0
2020-04-19,,,,,,,991.0,74.0
2020-04-21,,,,,,,1137.0,146.0
2020-04-23,,,2.0,16.0,,,,
2020-04-25,2.0,20.0,,,,,,
2020-04-28,2.0,22.0,,,,,,
2020-04-29,,,1.0,17.0,,,1949.0,812.0
2020-04-30,,,,,,,2245.0,296.0
2020-05-01,,,,,,,2430.0,185.0
2020-05-02,1.0,23.0,,,,,2434.0,4.0
2020-05-03,19.0,42.0,,,,,2434.0,0.0
2020-05-04,,,,,,,2639.0,205.0
2020-05-08,,,1.0,18.0,,,,
2020-05-09,,,,,,,3503.0,864.0
2020-05-10,,,3.0,21.0,,,,
2020-05-11,,,1.0,22.0,,,,
2020-05-13,1.0,43.0,,,,,3683.0,180.0
2020-05-15,,,2.0,24.0,,,,
2020-05-16,,,,,,,4067.0,384.0
2020-05-18,,,19.0,43.0,,,4219.0,152.0
2020-05-19,,,,,,,4730.0,511.0
2020-05-20,1.0,44.0,,,,,,
2020-05-21,,,,,,,5291.0,561.0
2020-05-22,2.0,46.0,,,,,5505.0,214.0
2020-05-23,3.0,49.0,,,,,5727.0,222.0
2020-05-24,3.0,52.0,,,,,5730.0,3.0
2020-05-25,1.0,53.0,,,,,5896.0,166.0
2020-05-27,1.0,54.0,,,,,,
2020-05-28,20.0,74.0,,,,,,
2020-05-30,3.0,77.0,,,,,7354.0,1458.0
2020-05-31,,,4.0,47.0,,,7354.0,0.0
2020-06-02,4.0,81.0,,,1.0,1.0,8310.0,956.0
2020-06-03,9.0,90.0,1.0,48.0,,,,
2020-06-04,4.0,94.0,,,,,,
2020-06-05,3.0,97.0,,,,,9754.0,1444.0
2020-06-06,2.0,99.0,2.0,50.0,,,10164.0,410.0
2020-06-07,4.0,103.0,,,,,,
2020-06-09,5.0,108.0,,,,,10249.0,85.0
2020-06-10,7.0,115.0,,,,,0.0,-10249.0
2020-06-11,20.0,135.0,4.0,54.0,,,10855.0,10855.0
2020-06-12,104.0,239.0,4.0,58.0,,,10986.0,131.0
2020-06-13,198.0,437.0,10.0,68.0,,,11135.0,149.0
2020-06-14,112.0,549.0,12.0,80.0,,,11135.0,0.0
2020-06-15,6.0,555.0,2.0,82.0,,,11260.0,125.0
2020-06-16,94.0,649.0,3.0,85.0,,,11537.0,277.0
2020-06-17,38.0,687.0,7.0,92.0,,,11626.0,89.0
2020-06-18,,,3.0,95.0,,,12082.0,456.0
2020-06-19,57.0,744.0,,,,,12516.0,434.0
2020-06-20,92.0,836.0,22.0,117.0,,,12838.0,322.0
2020-06-21,1.0,837.0,17.0,134.0,,,12838.0,0.0
2020-06-22,10.0,847.0,2.0,136.0,,,13018.0,180.0
2020-06-23,85.0,932.0,12.0,148.0,,,13118.0,100.0
2020-06-24,,,126.0,274.0,,,13313.0,195.0
2020-06-25,9.0,941.0,84.0,358.0,,,13521.0,208.0
2020-06-26,5.0,946.0,109.0,467.0,,,13636.0,115.0
2020-06-27,14.0,960.0,87.0,554.0,,,13717.0,81.0
2020-06-28,3.0,963.0,32.0,586.0,,,,
2020-06-29,1.0,964.0,30.0,616.0,,,13886.0,169.0
2020-06-30,9.0,973.0,32.0,648.0,,,,
2020-07-01,,,,,,,14076.0,190.0
2020-07-02,,,,,,,14272.0,196.0
2020-07-03,,,,,,,14361.0,89.0
2020-07-04,,,,,,,14537.0,176.0
2020-07-05,,,,,,,14537.0,0.0
2020-07-07,,,,,,,14833.0,296.0
2020-07-08,,,,,,,14938.0,105.0
2020-07-09,,,,,,,15067.0,129.0
2020-07-10,,,,,,,15186.0,119.0
