dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d,Total Tested,daily_test
2020-03-20,4.0,4.0,,,,,,
2020-03-22,2.0,6.0,,,,,,
2020-03-24,1.0,7.0,,,,,,
2020-03-25,7.0,14.0,,,1.0,1.0,,
2020-03-26,5.0,19.0,,,,,,
2020-03-27,8.0,27.0,,,1.0,2.0,,
2020-03-28,10.0,37.0,,,,,,
2020-03-29,,,,,2.0,4.0,,
2020-03-30,8.0,45.0,,,2.0,6.0,,
2020-03-31,19.0,64.0,,,1.0,7.0,,
2020-04-01,32.0,96.0,,,1.0,8.0,,
2020-04-02,9.0,105.0,,,2.0,10.0,,
2020-04-03,47.0,152.0,,,,,,
2020-04-04,25.0,177.0,,,3.0,13.0,,
2020-04-05,14.0,191.0,3.0,3.0,2.0,15.0,2812.0,2812.0
2020-04-06,63.0,254.0,8.0,11.0,2.0,17.0,,
2020-04-07,34.0,288.0,10.0,21.0,6.0,23.0,3770.0,958.0
2020-04-08,51.0,339.0,4.0,25.0,3.0,26.0,4056.0,286.0
2020-04-09,70.0,409.0,,,9.0,35.0,5135.0,1079.0
2020-04-10,40.0,449.0,12.0,37.0,3.0,38.0,7049.0,1914.0
2020-04-11,78.0,527.0,1.0,38.0,4.0,42.0,8516.0,1467.0
2020-04-12,33.0,560.0,3.0,41.0,3.0,45.0,10481.0,1965.0
2020-04-13,52.0,612.0,10.0,51.0,7.0,52.0,10481.0,0.0
2020-04-14,127.0,739.0,13.0,64.0,3.0,55.0,8105.0,-2376.0
2020-04-15,197.0,936.0,,,,,9596.0,1491.0
2020-04-16,226.0,1162.0,6.0,70.0,2.0,57.0,13492.0,3896.0
2020-04-17,146.0,1308.0,,,14.0,71.0,15302.0,1810.0
2020-04-18,96.0,1404.0,57.0,127.0,,,14978.0,-324.0
2020-04-19,5.0,1409.0,4.0,131.0,3.0,74.0,17835.0,2857.0
2020-04-20,78.0,1487.0,7.0,138.0,4.0,78.0,19142.0,1307.0
2020-04-21,67.0,1554.0,10.0,148.0,4.0,82.0,20905.0,1763.0
2020-04-22,37.0,1591.0,4.0,152.0,,,22664.0,1759.0
2020-04-23,104.0,1695.0,51.0,203.0,3.0,85.0,24548.0,1884.0
2020-04-24,161.0,1856.0,7.0,210.0,9.0,94.0,26233.0,1685.0
2020-04-25,103.0,1959.0,71.0,281.0,7.0,101.0,27866.0,1633.0
2020-04-26,153.0,2112.0,21.0,302.0,4.0,105.0,25232.0,-2634.0
2020-04-27,75.0,2187.0,55.0,357.0,7.0,112.0,27009.0,1777.0
2020-04-28,222.0,2409.0,16.0,373.0,10.0,122.0,31060.0,4051.0
2020-04-29,173.0,2582.0,88.0,461.0,10.0,132.0,33837.0,2777.0
2020-04-30,65.0,2647.0,21.0,482.0,7.0,139.0,41712.0,7875.0
2020-05-01,90.0,2737.0,42.0,524.0,8.0,147.0,44116.0,2404.0
2020-05-02,73.0,2810.0,100.0,624.0,6.0,153.0,46578.0,2462.0
2020-05-03,49.0,2859.0,174.0,798.0,5.0,158.0,49186.0,2608.0
2020-05-04,105.0,2964.0,58.0,856.0,9.0,167.0,52095.0,2909.0
2020-05-05,107.0,3071.0,144.0,1000.0,11.0,178.0,54595.0,2500.0
2020-05-06,89.0,3160.0,99.0,1099.0,9.0,187.0,54595.0,0.0
2020-05-07,114.0,3274.0,132.0,1231.0,8.0,195.0,61020.0,6425.0
2020-05-08,89.0,3363.0,118.0,1349.0,7.0,202.0,63705.0,2685.0
2020-05-09,116.0,3479.0,131.0,1480.0,11.0,213.0,68010.0,4305.0
2020-05-10,157.0,3636.0,196.0,1676.0,4.0,217.0,72069.0,4059.0
2020-05-11,171.0,3807.0,71.0,1747.0,6.0,223.0,76039.0,3970.0
2020-05-12,201.0,4008.0,113.0,1860.0,4.0,227.0,80885.0,4846.0
2020-05-13,187.0,4195.0,144.0,2004.0,7.0,234.0,85903.0,5018.0
2020-05-14,253.0,4448.0,167.0,2171.0,5.0,239.0,89760.0,3857.0
2020-05-15,169.0,4617.0,112.0,2283.0,2.0,241.0,93849.0,4089.0
2020-05-16,195.0,4812.0,32.0,2315.0,4.0,245.0,99677.0,5828.0
2020-05-17,187.0,4999.0,88.0,2403.0,5.0,250.0,103898.0,4221.0
2020-05-18,259.0,5258.0,32.0,2435.0,4.0,254.0,112168.0,8270.0
2020-05-19,229.0,5487.0,196.0,2631.0,6.0,260.0,116473.0,4305.0
2020-05-20,270.0,5757.0,103.0,2734.0,9.0,269.0,120737.0,4264.0
2020-05-21,246.0,6003.0,110.0,2844.0,4.0,273.0,125608.0,4871.0
2020-05-22,189.0,6192.0,245.0,3089.0,1.0,274.0,129060.0,3452.0
2020-05-23,201.0,6393.0,178.0,3267.0,9.0,283.0,132769.0,3709.0
2020-05-24,294.0,6687.0,141.0,3408.0,9.0,292.0,135889.0,3120.0
2020-05-25,194.0,6881.0,163.0,3571.0,10.0,302.0,138584.0,2695.0
2020-05-26,165.0,7046.0,118.0,3689.0,5.0,307.0,141508.0,2924.0
2020-05-27,237.0,7283.0,238.0,3927.0,8.0,315.0,146144.0,4636.0
2020-05-28,192.0,7475.0,123.0,4050.0,8.0,323.0,151182.0,5038.0
