dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d,Total Tested,daily_test
2020-04-13,1.0,1.0,,,,,,
2020-04-15,6.0,7.0,,,1.0,1.0,,
2020-04-16,2.0,9.0,,,,,552.0,552.0
2020-04-17,,,,,,,617.0,65.0
2020-04-18,2.0,11.0,,,,,738.0,121.0
2020-04-19,,,,,,,766.0,28.0
2020-04-20,,,,,,,838.0,72.0
2020-04-21,1.0,12.0,,,,,933.0,95.0
2020-04-22,,,,,,,1046.0,113.0
2020-04-23,,,,,,,1109.0,63.0
2020-04-24,,,,,,,1130.0,21.0
2020-04-25,,,,,,,1169.0,39.0
2020-04-27,,,,,,,1254.0,85.0
2020-04-28,,,,,,,1382.0,128.0
2020-04-29,,,,,,,1397.0,15.0
2020-04-30,,,,,,,1595.0,198.0
2020-05-01,,,10.0,10.0,,,0.0,-1595.0
2020-05-02,,,,,,,1707.0,1707.0
2020-05-03,,,,,,,0.0,-1707.0
2020-05-04,,,,,,,1884.0,1884.0
2020-05-05,,,,,,,1944.0,60.0
2020-05-06,,,,,,,0.0,-1944.0
2020-05-07,,,,,,,2054.0,2054.0
2020-05-08,,,,,,,0.0,-2054.0
2020-05-09,1.0,13.0,,,,,2287.0,2287.0
2020-05-10,,,,,,,2287.0,0.0
2020-05-11,,,,,,,2480.0,193.0
2020-05-12,,,,,,,0.0,-2480.0
2020-05-13,,,1.0,11.0,,,,
2020-05-15,,,,,,,2712.0,2712.0
2020-05-18,,,1.0,12.0,,,2896.0,184.0
2020-05-19,,,,,,,3104.0,208.0
2020-05-20,1.0,14.0,,,,,3419.0,315.0
2020-05-22,,,,,,,3682.0,263.0
2020-05-25,1.0,15.0,,,,,,
2020-05-26,5.0,20.0,,,,,6553.0,2871.0
2020-05-27,,,,,,,6685.0,132.0
2020-05-28,1.0,21.0,,,,,,
2020-05-29,6.0,27.0,,,,,,
2020-05-31,,,,,,,7781.0,1096.0
2020-06-01,1.0,28.0,,,,,8127.0,346.0
2020-06-02,2.0,30.0,,,,,8734.0,607.0
2020-06-03,3.0,33.0,1.0,13.0,,,9025.0,291.0
2020-06-04,,,,,,,9395.0,370.0
2020-06-05,,,,,,,9592.0,197.0
2020-06-06,,,,,,,10066.0,474.0
2020-06-07,3.0,36.0,,,,,10066.0,0.0
2020-06-08,3.0,39.0,,,,,10746.0,680.0
2020-06-09,4.0,43.0,,,,,11247.0,501.0
2020-06-10,1.0,44.0,,,,,11505.0,258.0
2020-06-11,,,5.0,18.0,,,11889.0,384.0
2020-06-12,,,4.0,22.0,,,12219.0,330.0
2020-06-13,,,1.0,23.0,,,12560.0,341.0
2020-06-14,,,3.0,26.0,,,,
2020-06-15,,,,,,,13353.0,793.0
2020-06-16,,,2.0,28.0,,,13878.0,525.0
2020-06-17,-1.0,43.0,3.0,31.0,,,14316.0,438.0
2020-06-18,,,1.0,32.0,,,14647.0,331.0
2020-06-19,,,,,,,15104.0,457.0
2020-06-20,,,,,,,15346.0,242.0
2020-06-21,,,5.0,37.0,,,,
2020-06-22,2.0,45.0,,,,,16296.0,950.0
2020-06-23,1.0,46.0,4.0,41.0,,,16637.0,341.0
2020-06-24,,,,,,,17115.0,478.0
2020-06-25,,,1.0,42.0,,,17591.0,476.0
2020-06-26,2.0,48.0,,,,,18103.0,512.0
2020-06-27,,,,,,,18288.0,185.0
2020-06-28,2.0,50.0,,,,,18441.0,153.0
2020-06-29,1.0,51.0,,,,,18707.0,266.0
2020-06-30,2.0,53.0,,,,,19294.0,587.0
2020-07-01,2.0,55.0,,,,,19494.0,200.0
2020-07-02,3.0,58.0,1.0,43.0,,,19732.0,238.0
2020-07-03,4.0,62.0,,,,,20329.0,597.0
2020-07-04,8.0,70.0,,,,,20744.0,415.0
2020-07-05,2.0,72.0,,,,,20950.0,206.0
2020-07-06,16.0,88.0,,,,,21502.0,552.0
2020-07-07,6.0,94.0,,,,,21847.0,345.0
2020-07-08,6.0,100.0,2.0,45.0,1.0,2.0,22000.0,153.0
2020-07-09,13.0,113.0,,,,,22156.0,156.0
2020-07-10,73.0,186.0,,,,,22517.0,361.0
