dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d,Total Tested,daily_test
2020-03-25,1.0,1.0,,,0.0,0.0,,
2020-04-06,,,,,,,58.0,58.0
2020-04-07,,,,,,,58.0,0.0
2020-04-08,,,,,,,74.0,16.0
2020-04-09,,,,,,,84.0,10.0
2020-04-12,,,,,,,87.0,3.0
2020-04-13,,,,,,,89.0,2.0
2020-04-14,,,,,,,91.0,2.0
2020-04-15,,,,,,,94.0,3.0
2020-04-16,,,,,,,94.0,0.0
2020-04-18,,,,,,,102.0,8.0
2020-04-19,,,,,,,116.0,14.0
2020-04-20,,,,,,,132.0,16.0
2020-04-21,,,,,,,135.0,3.0
2020-04-22,,,,,,,135.0,0.0
2020-04-23,,,,,,,137.0,2.0
2020-04-26,,,,,,,146.0,9.0
2020-04-27,,,,,,,146.0,0.0
2020-04-28,,,,,,,158.0,12.0
2020-04-29,,,,,,,179.0,21.0
2020-04-30,,,,,,,180.0,1.0
2020-05-01,,,,,,,180.0,0.0
2020-05-02,,,,,,,183.0,3.0
2020-05-03,,,,,,,183.0,0.0
2020-05-04,,,,,,,183.0,0.0
2020-05-05,,,1.0,1.0,,,188.0,5.0
2020-05-06,,,,,,,195.0,7.0
2020-05-07,,,,,,,197.0,2.0
2020-05-08,,,,,,,199.0,2.0
2020-05-09,,,,,,,201.0,2.0
2020-05-10,,,,,,,201.0,0.0
2020-05-11,,,,,,,206.0,5.0
2020-05-12,,,,,,,224.0,18.0
2020-05-13,,,,,,,224.0,0.0
2020-05-14,,,,,,,273.0,49.0
2020-05-15,,,,,,,273.0,0.0
2020-05-16,,,,,,,282.0,9.0
2020-05-17,,,,,,,282.0,0.0
2020-05-18,,,,,,,301.0,19.0
2020-05-19,,,,,,,313.0,12.0
2020-05-20,,,,,,,315.0,2.0
2020-05-21,,,,,,,320.0,5.0
2020-05-22,,,,,,,324.0,4.0
2020-05-23,,,,,,,336.0,12.0
2020-05-24,,,,,,,342.0,6.0
2020-05-25,,,,,,,359.0,17.0
2020-05-26,,,,,,,438.0,79.0
2020-05-28,,,,,,,516.0,78.0
2020-05-29,,,,,,,529.0,13.0
2020-05-30,,,,,,,686.0,157.0
2020-05-31,,,,,,,777.0,91.0
2020-06-01,,,,,,,896.0,119.0
2020-06-02,12.0,13.0,,,0.0,0.0,1012.0,116.0
2020-06-03,1.0,14.0,,,0.0,0.0,1095.0,83.0
2020-06-04,3.0,17.0,,,0.0,0.0,1346.0,251.0
2020-06-05,7.0,24.0,,,0.0,0.0,1687.0,341.0
2020-06-06,,,,,,,1991.0,304.0
2020-06-07,10.0,34.0,,,0.0,0.0,2252.0,261.0
2020-06-08,8.0,42.0,,,0.0,0.0,2496.0,244.0
2020-06-09,46.0,88.0,,,0.0,0.0,2747.0,251.0
2020-06-10,5.0,93.0,,,0.0,0.0,2747.0,0.0
2020-06-11,9.0,102.0,,,0.0,0.0,3152.0,405.0
2020-06-12,2.0,104.0,,,0.0,0.0,0.0,-3152.0
2020-06-13,6.0,110.0,,,0.0,0.0,3727.0,3727.0
2020-06-14,2.0,112.0,,,0.0,0.0,4327.0,600.0
2020-06-15,5.0,117.0,,,0.0,0.0,4919.0,592.0
2020-06-16,4.0,121.0,,,0.0,0.0,5524.0,605.0
2020-06-17,,,,,,,6035.0,511.0
2020-06-18,9.0,130.0,,,0.0,0.0,6661.0,626.0
2020-06-19,,,8.0,9.0,,,7496.0,835.0
2020-06-20,10.0,140.0,,,0.0,0.0,8284.0,788.0
2020-06-21,1.0,141.0,,,0.0,0.0,8718.0,434.0
2020-06-22,1.0,142.0,3.0,12.0,0.0,0.0,9277.0,559.0
2020-06-23,,,7.0,19.0,,,9840.0,563.0
2020-06-24,3.0,145.0,5.0,24.0,0.0,0.0,10486.0,646.0
2020-06-25,,,6.0,30.0,,,11672.0,1186.0
2020-06-26,2.0,147.0,17.0,47.0,0.0,0.0,12753.0,1081.0
2020-06-27,3.0,150.0,8.0,55.0,0.0,0.0,12846.0,93.0
2020-06-28,1.0,151.0,,,0.0,0.0,13012.0,166.0
2020-06-29,,,6.0,61.0,,,13072.0,60.0
2020-06-30,9.0,160.0,61.0,122.0,0.0,0.0,13746.0,674.0
2020-07-01,,,1.0,123.0,,,13886.0,140.0
2020-07-02,2.0,162.0,3.0,126.0,0.0,0.0,13931.0,45.0
2020-07-03,,,1.0,127.0,,,14370.0,439.0
2020-07-04,2.0,164.0,3.0,130.0,0.0,0.0,14509.0,139.0
2020-07-05,22.0,186.0,3.0,133.0,0.0,0.0,14981.0,472.0
2020-07-06,11.0,197.0,,,0.0,0.0,15006.0,25.0
2020-07-07,1.0,198.0,6.0,139.0,0.0,0.0,15058.0,52.0
2020-07-08,5.0,203.0,4.0,143.0,0.0,0.0,15183.0,125.0
2020-07-09,,,,,,,15523.0,340.0
2020-07-10,23.0,226.0,,,0.0,0.0,15868.0,345.0
