dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d,Total Tested,daily_test
2020-03-16,1.0,1.0,,,,,,
2020-03-19,1.0,2.0,,,,,,
2020-03-26,1.0,3.0,,,,,,
2020-03-31,1.0,4.0,,,,,,
2020-04-01,1.0,5.0,1.0,1.0,,,,
2020-04-03,15.0,20.0,1.0,2.0,,,1395.0,1395.0
2020-04-04,1.0,21.0,,,,,,
2020-04-05,18.0,39.0,,,,,,
2020-04-06,1.0,40.0,,,,,,
2020-04-07,1.0,41.0,,,2.0,2.0,2441.0,1046.0
2020-04-08,,,,,,,2441.0,0.0
2020-04-09,6.0,47.0,,,,,3249.0,808.0
2020-04-10,2.0,49.0,10.0,12.0,,,3547.0,298.0
2020-04-11,4.0,53.0,,,,,3551.0,4.0
2020-04-12,,,,,,,3862.0,311.0
2020-04-13,1.0,54.0,6.0,18.0,,,4170.0,308.0
2020-04-14,5.0,59.0,,,,,4734.0,564.0
2020-04-15,,,1.0,19.0,,,5537.0,803.0
2020-04-16,,,,,,,6734.0,1197.0
2020-04-17,,,2.0,21.0,,,7577.0,843.0
2020-04-18,1.0,60.0,3.0,24.0,,,8619.0,1042.0
2020-04-19,,,,,,,9690.0,1071.0
2020-04-20,13.0,73.0,,,,,10641.0,951.0
2020-04-21,5.0,78.0,6.0,30.0,,,11748.0,1107.0
2020-04-22,4.0,82.0,2.0,32.0,,,13775.0,2027.0
2020-04-23,6.0,88.0,1.0,33.0,,,15984.0,2209.0
2020-04-24,5.0,93.0,,,,,18458.0,2474.0
2020-04-25,6.0,99.0,1.0,34.0,,,20599.0,2141.0
2020-04-26,3.0,102.0,1.0,35.0,,,22816.0,2217.0
2020-04-27,15.0,117.0,2.0,37.0,,,25103.0,2287.0
2020-04-28,,,1.0,38.0,,,26687.0,1584.0
2020-04-29,7.0,124.0,1.0,39.0,,,29108.0,2421.0
2020-04-30,18.0,142.0,2.0,41.0,,,31696.0,2588.0
2020-05-01,11.0,153.0,14.0,55.0,,,34133.0,2437.0
2020-05-02,6.0,159.0,1.0,56.0,,,36593.0,2460.0
2020-05-03,2.0,161.0,4.0,60.0,,,38658.0,2065.0
2020-05-04,7.0,168.0,,,,,41128.0,2470.0
2020-05-05,8.0,176.0,,,1.0,3.0,44663.0,3535.0
2020-05-06,28.0,204.0,1.0,61.0,,,47454.0,2791.0
2020-05-07,14.0,218.0,1.0,62.0,,,50514.0,3060.0
2020-05-08,51.0,269.0,1.0,63.0,,,52974.0,2460.0
2020-05-09,82.0,351.0,5.0,68.0,1.0,4.0,56322.0,3348.0
2020-05-10,25.0,376.0,,,,,59780.0,3458.0
2020-05-11,38.0,414.0,17.0,85.0,,,63478.0,3698.0
2020-05-12,22.0,436.0,31.0,116.0,,,68057.0,4579.0
2020-05-13,101.0,537.0,27.0,143.0,,,72756.0,4699.0
2020-05-14,134.0,671.0,15.0,158.0,,,77150.0,4394.0
2020-05-15,65.0,736.0,8.0,166.0,,,81919.0,4769.0
2020-05-16,,,30.0,196.0,,,86140.0,4221.0
2020-05-17,91.0,827.0,24.0,220.0,1.0,5.0,91223.0,5083.0
2020-05-18,48.0,875.0,57.0,277.0,,,95766.0,4543.0
2020-05-19,102.0,977.0,30.0,307.0,1.0,6.0,100302.0,4536.0
2020-05-20,74.0,1051.0,36.0,343.0,1.0,7.0,105914.0,5612.0
2020-05-21,51.0,1102.0,50.0,393.0,1.0,8.0,108432.0,2518.0
2020-05-22,86.0,1188.0,43.0,436.0,,,113437.0,5005.0
2020-05-23,80.0,1268.0,61.0,497.0,,,118446.0,5009.0
2020-05-24,67.0,1335.0,53.0,550.0,,,123834.0,5388.0
2020-05-25,102.0,1437.0,99.0,649.0,,,127776.0,3942.0
2020-05-26,79.0,1516.0,84.0,733.0,,,131595.0,3819.0
2020-05-27,76.0,1592.0,79.0,812.0,,,136274.0,4679.0
2020-05-28,67.0,1659.0,75.0,887.0,,,139311.0,3037.0
2020-05-29,63.0,1722.0,90.0,977.0,2.0,10.0,143570.0,4259.0
2020-05-30,96.0,1818.0,73.0,1050.0,,,147490.0,3920.0
2020-05-31,129.0,1947.0,76.0,1126.0,,,152131.0,4641.0
2020-06-01,156.0,2103.0,119.0,1245.0,,,155690.0,3559.0
2020-06-02,141.0,2244.0,80.0,1325.0,,,159567.0,3877.0
2020-06-03,143.0,2387.0,91.0,1416.0,,,162891.0,3324.0
2020-06-04,90.0,2477.0,65.0,1481.0,,,165824.0,2933.0
2020-06-05,130.0,2607.0,123.0,1604.0,1.0,11.0,169010.0,3186.0
2020-06-06,173.0,2780.0,112.0,1716.0,,,172598.0,3588.0
2020-06-07,75.0,2855.0,178.0,1894.0,1.0,12.0,176098.0,3500.0
2020-06-08,138.0,2993.0,99.0,1993.0,,,179415.0,3317.0
2020-06-09,146.0,3139.0,140.0,2133.0,,,182384.0,2969.0
2020-06-10,110.0,3249.0,149.0,2282.0,,,185401.0,3017.0
2020-06-11,136.0,3385.0,72.0,2354.0,1.0,13.0,188743.0,3342.0
2020-06-12,112.0,3497.0,120.0,2474.0,1.0,14.0,192576.0,3833.0
2020-06-13,225.0,3722.0,120.0,2594.0,,,196456.0,3880.0
2020-06-14,186.0,3908.0,114.0,2708.0,1.0,15.0,200014.0,3558.0
2020-06-15,146.0,4054.0,146.0,2854.0,,,202513.0,2499.0
2020-06-16,108.0,4162.0,120.0,2974.0,,,205501.0,2988.0
2020-06-17,175.0,4337.0,73.0,3047.0,,,208472.0,2971.0
2020-06-18,174.0,4511.0,97.0,3144.0,,,212224.0,3752.0
2020-06-19,165.0,4676.0,153.0,3297.0,,,216607.0,4383.0
2020-06-20,179.0,4855.0,237.0,3534.0,1.0,16.0,219774.0,3167.0
2020-06-21,304.0,5159.0,186.0,3720.0,4.0,20.0,224402.0,4628.0
2020-06-22,143.0,5302.0,143.0,3863.0,2.0,22.0,227860.0,3458.0
2020-06-23,167.0,5469.0,125.0,3988.0,3.0,25.0,231356.0,3496.0
2020-06-24,282.0,5751.0,135.0,4123.0,,,235627.0,4271.0
2020-06-25,210.0,5961.0,168.0,4291.0,,,239815.0,4188.0
2020-06-26,218.0,6179.0,131.0,4422.0,,,244588.0,4773.0
2020-06-27,170.0,6349.0,184.0,4606.0,1.0,26.0,249902.0,5314.0
2020-06-28,264.0,6613.0,137.0,4743.0,3.0,29.0,255809.0,5907.0
2020-06-29,245.0,6858.0,203.0,4946.0,2.0,31.0,260428.0,4619.0
2020-06-30,206.0,7064.0,243.0,5189.0,2.0,33.0,265431.0,5003.0
2020-07-01,251.0,7315.0,164.0,5353.0,1.0,34.0,270678.0,5247.0
2020-07-02,229.0,7544.0,149.0,5502.0,2.0,36.0,274672.0,3994.0
2020-07-03,561.0,8105.0,203.0,5705.0,2.0,38.0,281523.0,6851.0
2020-07-04,495.0,8600.0,229.0,5934.0,6.0,44.0,287090.0,5567.0
2020-07-05,469.0,9069.0,290.0,6224.0,3.0,47.0,292407.0,5317.0
2020-07-06,456.0,9525.0,262.0,6486.0,2.0,49.0,297234.0,4827.0
2020-07-07,571.0,10096.0,217.0,6703.0,6.0,55.0,302780.0,5546.0
2020-07-08,527.0,10623.0,303.0,7006.0,7.0,62.0,308698.0,5918.0
2020-07-09,577.0,11200.0,401.0,7407.0,6.0,68.0,314987.0,6289.0
