dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d,Total Tested,daily_test
2020-03-17,1.0,1.0,,,,,,
2020-04-01,2.0,3.0,,,,,,
2020-04-02,2.0,5.0,,,,,,
2020-04-07,,,1.0,1.0,,,,
2020-04-10,2.0,7.0,,,,,,
2020-04-18,,,3.0,4.0,,,1207.0,1207.0
2020-04-19,,,,,,,1245.0,38.0
2020-04-20,,,,,,,1272.0,27.0
2020-04-21,,,,,,,1319.0,47.0
2020-04-22,,,,,,,1473.0,154.0
2020-04-23,,,,,,,1548.0,75.0
2020-04-24,,,,,,,1704.0,156.0
2020-04-25,1.0,8.0,,,,,1864.0,160.0
2020-04-26,,,,,,,1977.0,113.0
2020-04-27,,,1.0,5.0,,,2014.0,37.0
2020-04-28,,,,,,,2156.0,142.0
2020-04-29,,,,,,,2228.0,72.0
2020-04-30,,,,,,,2353.0,125.0
2020-05-01,,,,,,,2698.0,345.0
2020-05-02,1.0,9.0,,,,,2990.0,292.0
2020-05-03,,,1.0,6.0,,,3155.0,165.0
2020-05-04,,,,,,,3281.0,126.0
2020-05-05,,,,,,,3560.0,279.0
2020-05-06,,,,,,,3641.0,81.0
2020-05-07,,,,,,,3866.0,225.0
2020-05-08,1.0,10.0,2.0,8.0,,,4111.0,245.0
2020-05-09,,,,,,,4266.0,155.0
2020-05-10,2.0,12.0,1.0,9.0,,,4364.0,98.0
2020-05-11,,,,,,,4486.0,122.0
2020-05-12,,,,,,,0.0,-4486.0
2020-05-13,1.0,13.0,,,,,4919.0,4919.0
2020-05-14,3.0,16.0,,,,,5112.0,193.0
2020-05-15,,,,,,,5312.0,200.0
2020-05-16,1.0,17.0,,,,,5484.0,172.0
2020-05-17,,,,,,,5619.0,135.0
2020-05-18,,,,,,,5754.0,135.0
2020-05-19,5.0,22.0,1.0,10.0,,,5829.0,75.0
2020-05-20,1.0,23.0,,,,,5960.0,131.0
2020-05-21,,,,,,,6106.0,146.0
2020-05-22,3.0,26.0,,,,,6233.0,127.0
2020-05-23,,,,,,,6349.0,116.0
2020-05-24,15.0,41.0,2.0,12.0,,,6536.0,187.0
2020-05-25,8.0,49.0,5.0,17.0,,,6606.0,70.0
2020-05-26,,,,,,,6677.0,71.0
2020-05-27,,,,,,,6808.0,131.0
2020-05-28,4.0,53.0,,,,,6917.0,109.0
2020-05-29,4.0,57.0,6.0,23.0,,,7043.0,126.0
2020-05-30,,,,,,,7164.0,121.0
2020-05-31,13.0,70.0,2.0,25.0,,,7255.0,91.0
2020-06-01,9.0,79.0,,,,,7354.0,99.0
2020-06-02,,,,,,,7444.0,90.0
2020-06-03,11.0,90.0,8.0,33.0,,,7576.0,132.0
2020-06-04,9.0,99.0,4.0,37.0,,,7794.0,218.0
2020-06-05,5.0,104.0,6.0,43.0,,,7963.0,169.0
2020-06-06,3.0,107.0,5.0,48.0,,,8118.0,155.0
2020-06-07,12.0,119.0,1.0,49.0,,,8274.0,156.0
2020-06-08,9.0,128.0,4.0,53.0,,,8472.0,198.0
2020-06-09,4.0,132.0,2.0,55.0,,,8752.0,280.0
2020-06-10,12.0,144.0,5.0,60.0,,,8954.0,202.0
2020-06-11,13.0,157.0,7.0,67.0,2.0,2.0,9250.0,296.0
2020-06-12,6.0,163.0,9.0,76.0,1.0,3.0,9658.0,408.0
2020-06-13,13.0,176.0,6.0,82.0,,,10008.0,350.0
2020-06-14,18.0,194.0,9.0,91.0,1.0,4.0,10321.0,313.0
2020-06-15,8.0,202.0,4.0,95.0,,,10486.0,165.0
2020-06-16,14.0,216.0,4.0,99.0,,,10929.0,443.0
2020-06-17,29.0,245.0,10.0,109.0,1.0,5.0,11356.0,427.0
2020-06-18,26.0,271.0,7.0,116.0,1.0,6.0,11679.0,323.0
2020-06-19,16.0,287.0,2.0,118.0,1.0,7.0,11992.0,313.0
2020-06-20,51.0,338.0,13.0,131.0,,,12409.0,417.0
2020-06-21,28.0,366.0,9.0,140.0,1.0,8.0,12781.0,372.0
2020-06-22,17.0,383.0,9.0,149.0,,,13037.0,256.0
2020-06-23,19.0,402.0,16.0,165.0,1.0,9.0,13435.0,398.0
2020-06-24,59.0,461.0,11.0,176.0,,,13861.0,426.0
2020-06-25,41.0,502.0,11.0,187.0,,,14267.0,406.0
2020-06-26,32.0,534.0,16.0,203.0,,,14689.0,422.0
2020-06-27,85.0,619.0,18.0,221.0,1.0,10.0,15225.0,536.0
2020-06-28,29.0,648.0,31.0,252.0,1.0,11.0,15892.0,667.0
2020-06-29,42.0,690.0,10.0,262.0,,,16479.0,587.0
2020-06-30,24.0,714.0,10.0,272.0,1.0,12.0,17281.0,802.0
2020-07-01,25.0,739.0,29.0,301.0,,,18092.0,811.0
2020-07-02,63.0,802.0,30.0,331.0,,,18791.0,699.0
2020-07-03,22.0,824.0,53.0,384.0,1.0,13.0,19560.0,769.0
2020-07-04,80.0,904.0,21.0,405.0,1.0,14.0,20186.0,626.0
2020-07-05,42.0,946.0,43.0,448.0,,,20778.0,592.0
2020-07-06,65.0,1011.0,32.0,480.0,,,21382.0,604.0
2020-07-07,32.0,1043.0,37.0,517.0,,,22055.0,673.0
2020-07-08,,,,,,,22743.0,688.0
2020-07-09,,,,,,,23515.0,772.0
2020-07-10,,,,,,,24485.0,970.0
