dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d,Total Tested,daily_test
2020-03-03,,,1.0,1.0,,,,
2020-03-04,,,1.0,2.0,,,,
2020-03-10,,,1.0,3.0,,,,
2020-03-14,1.0,1.0,,,,,,
2020-03-18,3.0,4.0,,,,,,
2020-03-19,2.0,6.0,,,,,,
2020-03-20,8.0,14.0,,,,,,
2020-03-21,7.0,21.0,,,,,,
2020-03-22,5.0,26.0,,,,,,
2020-03-23,3.0,29.0,,,,,,
2020-03-25,6.0,35.0,,,,,,
2020-03-26,4.0,39.0,,,1.0,1.0,,
2020-03-27,7.0,46.0,,,,,,
2020-03-28,4.0,50.0,,,,,,
2020-03-29,5.0,55.0,3.0,6.0,,,,
2020-03-30,20.0,75.0,,,,,,
2020-03-31,14.0,89.0,,,,,,
2020-04-01,27.0,116.0,,,,,,
2020-04-02,13.0,129.0,,,,,,
2020-04-03,46.0,175.0,,,,,,
2020-04-04,27.0,202.0,22.0,28.0,1.0,2.0,,
2020-04-05,60.0,262.0,,,,,12279.0,12279.0
2020-04-06,35.0,297.0,,,1.0,3.0,,
2020-04-07,42.0,339.0,,,,,17638.0,5359.0
2020-04-08,40.0,379.0,20.0,48.0,1.0,4.0,17638.0,0.0
2020-04-09,80.0,459.0,15.0,63.0,,,19107.0,1469.0
2020-04-10,98.0,557.0,,,,,22349.0,3242.0
2020-04-11,139.0,696.0,56.0,119.0,6.0,10.0,24857.0,2508.0
2020-04-12,104.0,800.0,5.0,124.0,2.0,12.0,28505.0,3648.0
2020-04-13,93.0,893.0,,,,,31804.0,3299.0
2020-04-14,108.0,1001.0,26.0,150.0,,,34928.0,3124.0
2020-04-15,71.0,1072.0,,,,,37860.0,2932.0
2020-04-16,55.0,1127.0,17.0,167.0,,,40778.0,2918.0
2020-04-17,98.0,1225.0,19.0,186.0,6.0,18.0,42847.0,2069.0
2020-04-18,122.0,1347.0,17.0,203.0,4.0,22.0,47197.0,4350.0
