dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d,Total Tested,daily_test
2020-03-02,,,1.0,1.0,,,,
2020-03-14,1.0,1.0,,,,,,
2020-03-15,1.0,2.0,,,,,,
2020-03-16,1.0,3.0,,,,,,
2020-03-17,1.0,4.0,,,,,,
2020-03-18,8.0,12.0,,,,,,
2020-03-19,3.0,15.0,,,,,,
2020-03-20,3.0,18.0,,,,,,
2020-03-21,2.0,20.0,,,,,,
2020-03-22,6.0,26.0,,,,,,
2020-03-23,6.0,32.0,,,,,,
2020-03-24,6.0,38.0,,,,,,
2020-03-25,2.0,40.0,,,,,,
2020-03-26,4.0,44.0,,,,,,
2020-03-27,14.0,58.0,,,,,,
2020-03-28,7.0,65.0,,,1.0,1.0,,
2020-03-29,3.0,68.0,1.0,2.0,1.0,2.0,,
2020-03-30,7.0,75.0,13.0,15.0,5.0,7.0,,
2020-03-31,20.0,95.0,,,,,,
2020-04-01,30.0,125.0,,,3.0,10.0,,
2020-04-02,27.0,152.0,3.0,18.0,,,,
2020-04-03,75.0,227.0,15.0,33.0,2.0,12.0,,
2020-04-04,43.0,270.0,1.0,34.0,,,,
2020-04-05,62.0,332.0,,,,,,
2020-04-06,30.0,362.0,12.0,46.0,,,,
2020-04-07,40.0,402.0,,,,,,
2020-04-08,49.0,451.0,,,,,,
2020-04-09,18.0,469.0,,,1.0,13.0,,
2020-04-10,16.0,485.0,,,,,,
2020-04-11,16.0,501.0,51.0,97.0,2.0,15.0,,
2020-04-12,28.0,529.0,7.0,104.0,2.0,17.0,,
2020-04-13,61.0,590.0,,,1.0,18.0,,
2020-04-14,52.0,642.0,7.0,111.0,1.0,19.0,,
2020-04-15,6.0,648.0,8.0,119.0,,,,
2020-04-16,50.0,698.0,68.0,187.0,,,,
2020-04-17,66.0,764.0,,,,,,
2020-04-18,43.0,807.0,,,,,,
2020-04-19,49.0,856.0,,,3.0,22.0,14962.0,14962.0
2020-04-20,14.0,870.0,,,2.0,24.0,,
2020-04-21,56.0,926.0,8.0,195.0,,,,
2020-04-22,15.0,941.0,,,1.0,25.0,,
2020-04-23,27.0,968.0,58.0,253.0,1.0,26.0,,
2020-04-24,13.0,981.0,39.0,292.0,,,,
2020-04-25,7.0,988.0,16.0,308.0,,,,
2020-04-26,11.0,999.0,9.0,317.0,,,,
2020-04-27,2.0,1001.0,16.0,333.0,,,,
2020-04-28,6.0,1007.0,42.0,375.0,,,19063.0,4101.0
2020-04-29,7.0,1014.0,35.0,410.0,,,19278.0,215.0
2020-04-30,22.0,1036.0,33.0,443.0,3.0,29.0,,
2020-05-01,6.0,1042.0,22.0,465.0,,,,
2020-05-02,17.0,1059.0,35.0,500.0,1.0,30.0,,
2020-05-03,21.0,1080.0,46.0,546.0,,,,
2020-05-04,3.0,1083.0,40.0,586.0,,,,
2020-05-05,11.0,1094.0,43.0,629.0,,,,
2020-05-06,11.0,1105.0,20.0,649.0,,,,
2020-05-07,15.0,1120.0,45.0,694.0,,,,
2020-05-08,10.0,1130.0,34.0,728.0,,,,
2020-05-09,31.0,1161.0,24.0,752.0,1.0,31.0,,
2020-05-10,33.0,1194.0,,,,,,
2020-05-11,79.0,1273.0,50.0,802.0,,,,
2020-05-12,51.0,1324.0,21.0,823.0,2.0,33.0,,
2020-05-13,41.0,1365.0,117.0,940.0,2.0,35.0,,
2020-05-14,47.0,1412.0,13.0,953.0,,,,
2020-05-15,40.0,1452.0,7.0,960.0,,,,
2020-05-16,55.0,1507.0,12.0,972.0,,,23388.0,4110.0
2020-05-17,42.0,1549.0,21.0,993.0,,,,
2020-05-18,41.0,1590.0,10.0,1003.0,,,,
2020-05-19,42.0,1632.0,9.0,1012.0,4.0,39.0,,
2020-05-20,27.0,1659.0,2.0,1014.0,2.0,41.0,,
2020-05-21,38.0,1697.0,23.0,1037.0,5.0,46.0,,
2020-05-22,62.0,1759.0,7.0,1044.0,3.0,49.0,,
2020-05-23,52.0,1811.0,25.0,1069.0,1.0,50.0,,
2020-05-24,41.0,1852.0,24.0,1093.0,4.0,54.0,,
2020-05-25,66.0,1918.0,72.0,1165.0,3.0,57.0,,
2020-05-26,112.0,2030.0,120.0,1285.0,1.0,58.0,,
2020-05-27,107.0,2137.0,37.0,1322.0,6.0,64.0,,
2020-05-28,117.0,2254.0,24.0,1346.0,4.0,68.0,,
2020-05-29,169.0,2423.0,36.0,1382.0,4.0,72.0,,
2020-05-30,74.0,2497.0,31.0,1413.0,6.0,78.0,,
2020-05-31,199.0,2696.0,16.0,1429.0,5.0,83.0,,
2020-06-01,94.0,2790.0,63.0,1492.0,6.0,89.0,,
2020-06-02,99.0,2889.0,35.0,1527.0,4.0,93.0,,
2020-06-03,129.0,3018.0,30.0,1557.0,7.0,100.0,,
2020-06-04,127.0,3145.0,31.0,1588.0,6.0,106.0,,
2020-06-05,143.0,3288.0,40.0,1628.0,8.0,114.0,,
2020-06-06,206.0,3494.0,83.0,1711.0,10.0,124.0,,
2020-06-07,154.0,3648.0,32.0,1743.0,14.0,138.0,,
2020-06-08,92.0,3740.0,,,5.0,143.0,,
2020-06-09,178.0,3918.0,,,6.0,149.0,,
2020-06-10,191.0,4109.0,75.0,1818.0,8.0,157.0,,
2020-06-11,209.0,4318.0,176.0,1994.0,9.0,166.0,,
2020-06-12,164.0,4482.0,285.0,2279.0,9.0,175.0,,
2020-06-13,253.0,4735.0,74.0,2353.0,8.0,183.0,,
2020-06-14,237.0,4972.0,25.0,2378.0,3.0,186.0,,
2020-06-15,219.0,5191.0,389.0,2767.0,2.0,188.0,,
2020-06-16,213.0,5404.0,261.0,3028.0,4.0,192.0,44431.0,21043.0
2020-06-17,269.0,5673.0,44.0,3072.0,1.0,193.0,45911.0,1480.0
2020-06-18,352.0,6025.0,230.0,3302.0,3.0,196.0,,
2020-06-19,499.0,6524.0,51.0,3353.0,3.0,199.0,50569.0,4658.0
2020-06-20,546.0,7070.0,154.0,3507.0,5.0,204.0,53757.0,3188.0
2020-06-21,730.0,7800.0,225.0,3732.0,7.0,211.0,57054.0,3297.0
2020-06-22,872.0,8672.0,274.0,4006.0,7.0,218.0,60243.0,3189.0
2020-06-23,879.0,9551.0,219.0,4225.0,3.0,221.0,63249.0,3006.0
2020-06-24,891.0,10442.0,137.0,4362.0,5.0,226.0,67318.0,4069.0
2020-06-25,920.0,11362.0,327.0,4689.0,5.0,231.0,70934.0,3616.0
2020-06-26,985.0,12347.0,78.0,4767.0,7.0,238.0,75308.0,4374.0
2020-06-27,1087.0,13434.0,162.0,4929.0,6.0,244.0,79231.0,3923.0
2020-06-28,983.0,14417.0,244.0,5173.0,4.0,248.0,82458.0,3227.0
2020-06-29,975.0,15392.0,410.0,5583.0,6.0,254.0,85106.0,2648.0
2020-06-30,945.0,16337.0,1712.0,7295.0,7.0,261.0,88563.0,3457.0
2020-07-01,1018.0,17355.0,788.0,8083.0,7.0,268.0,92797.0,4234.0
2020-07-02,1213.0,18568.0,987.0,9070.0,8.0,276.0,98153.0,5356.0
2020-07-03,1892.0,20460.0,1126.0,10196.0,8.0,284.0,104118.0,5965.0
2020-07-04,1850.0,22310.0,1342.0,11538.0,5.0,289.0,110545.0,6427.0
2020-07-05,1590.0,23900.0,1166.0,12704.0,7.0,296.0,115835.0,5290.0
2020-07-06,1831.0,25731.0,2078.0,14782.0,11.0,307.0,122218.0,6383.0
2020-07-07,1879.0,27610.0,1506.0,16288.0,7.0,314.0,128438.0,6220.0
2020-07-08,,,,,,,134801.0,6363.0
2020-07-09,,,,,,,140755.0,5954.0
2020-07-10,,,,,,,151109.0,10354.0
