dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d,Total Tested,daily_test
2020-03-04,3.0,3.0,4.0,4.0,,,,
2020-03-05,,,1.0,5.0,,,,
2020-03-09,1.0,4.0,1.0,6.0,,,,
2020-03-12,2.0,6.0,,,,,,
2020-03-13,1.0,7.0,,,,,,
2020-03-17,2.0,9.0,,,,,,
2020-03-18,2.0,11.0,,,,,,
2020-03-19,3.0,14.0,,,,,,
2020-03-20,4.0,18.0,,,,,,
2020-03-21,4.0,22.0,,,,,,
2020-03-22,2.0,24.0,,,,,,
2020-03-23,3.0,27.0,1.0,7.0,,,,
2020-03-24,1.0,28.0,,,,,,
2020-03-25,2.0,30.0,1.0,8.0,,,,
2020-03-26,4.0,34.0,,,,,,
2020-03-27,7.0,41.0,,,,,,
2020-03-28,16.0,57.0,,,,,,
2020-03-29,7.0,64.0,11.0,19.0,,,,
2020-03-30,24.0,88.0,6.0,25.0,,,,
2020-03-31,8.0,96.0,,,,,,
2020-04-01,13.0,109.0,,,2.0,2.0,,
2020-04-02,11.0,120.0,,,,,,
2020-04-03,46.0,166.0,,,,,,
2020-04-04,60.0,226.0,4.0,29.0,,,,
2020-04-05,43.0,269.0,,,2.0,4.0,10510.0,10510.0
2020-04-06,27.0,296.0,,,,,,
2020-04-07,27.0,323.0,,,,,,
2020-04-08,29.0,352.0,10.0,39.0,1.0,5.0,,
2020-04-09,49.0,401.0,,,,,8402.0,-2108.0
2020-04-10,23.0,424.0,1.0,40.0,,,9332.0,930.0
2020-04-11,19.0,443.0,13.0,53.0,1.0,6.0,10595.0,1263.0
2020-04-12,31.0,474.0,,,,,11855.0,1260.0
2020-04-13,75.0,549.0,4.0,57.0,,,13287.0,1432.0
2020-04-14,102.0,651.0,1.0,58.0,3.0,9.0,15914.0,2627.0
2020-04-15,75.0,726.0,7.0,65.0,3.0,12.0,19506.0,3592.0
2020-04-16,72.0,798.0,11.0,76.0,2.0,14.0,21384.0,1878.0
2020-04-17,44.0,842.0,14.0,90.0,1.0,15.0,24643.0,3259.0
2020-04-18,128.0,970.0,26.0,116.0,,,28484.0,3841.0
2020-04-19,133.0,1103.0,19.0,135.0,3.0,18.0,31767.0,3283.0
2020-04-20,84.0,1187.0,13.0,148.0,1.0,19.0,34326.0,2559.0
2020-04-21,159.0,1346.0,22.0,170.0,3.0,22.0,37933.0,3607.0
2020-04-22,114.0,1460.0,11.0,181.0,,,42192.0,4259.0
2020-04-23,61.0,1521.0,33.0,214.0,3.0,25.0,45483.0,3291.0
2020-04-24,111.0,1632.0,20.0,234.0,1.0,26.0,53166.0,7683.0
2020-04-25,180.0,1812.0,35.0,269.0,2.0,28.0,56851.0,3685.0
2020-04-26,82.0,1894.0,66.0,335.0,3.0,31.0,61799.0,4948.0
2020-04-27,113.0,2007.0,72.0,407.0,1.0,32.0,67145.0,5346.0
2020-04-28,67.0,2074.0,63.0,470.0,3.0,35.0,70307.0,3162.0
